,from_id,from_name,to_id,to_name,tp_base,,,,from_id,to_id,tp_base
0,0,Uninitialized,0,Uninitialized,0,,,0,0,0,0
1,0,Uninitialized,1,Uninfected,1,,,1,0,1,1
2,0,Uninitialized,2,Fast latent,0,,,2,0,2,0
3,0,Uninitialized,3,Slow latent,0,,,3,0,3,0
4,0,Uninitialized,4,Non-infectious active,0,,,4,0,4,0
5,0,Uninitialized,5,Infectious active,0,,,5,0,5,0
6,0,Uninitialized,6,Death,0,,,6,0,6,0
7,1,Uninfected,0,Uninitialized,0,,,7,1,0,0
8,1,Uninfected,1,Uninfected,0,,,8,1,1,0
9,1,Uninfected,2,Fast latent,0,,,9,1,2,0
10,1,Uninfected,3,Slow latent,1,,,10,1,3,1
11,1,Uninfected,4,Non-infectious active,0,,,11,1,4,0
12,1,Uninfected,5,Infectious active,0,,,12,1,5,0
13,1,Uninfected,6,Death,0,,,13,1,6,0
14,2,Fast latent,0,Uninitialized,0,,,14,2,0,0
15,2,Fast latent,1,Uninfected,0,,,15,2,1,0
16,2,Fast latent,2,Fast latent,0,,,16,2,2,0
17,2,Fast latent,3,Slow latent,0,,,17,2,3,0
18,2,Fast latent,4,Non-infectious active,0,,,18,2,4,0
19,2,Fast latent,5,Infectious active,0,,,19,2,5,0
20,2,Fast latent,6,Death,1,,,20,2,6,1
21,3,Slow latent,0,Uninitialized,0,,,21,3,0,0
22,3,Slow latent,1,Uninfected,0,,,22,3,1,0
23,3,Slow latent,2,Fast latent,0,,,23,3,2,0
24,3,Slow latent,3,Slow latent,0,,,24,3,3,0
25,3,Slow latent,4,Non-infectious active,0,,,25,3,4,0
26,3,Slow latent,5,Infectious active,0,,,26,3,5,0
27,3,Slow latent,6,Death,1,,,27,3,6,1
28,4,Non-infectious active,0,Uninitialized,0,,,28,4,0,0
29,4,Non-infectious active,1,Uninfected,0,,,29,4,1,0
30,4,Non-infectious active,2,Fast latent,0,,,30,4,2,0
31,4,Non-infectious active,3,Slow latent,1,,,31,4,3,1
32,4,Non-infectious active,4,Non-infectious active,0,,,32,4,4,0
33,4,Non-infectious active,5,Infectious active,0,,,33,4,5,0
34,4,Non-infectious active,6,Death,0,,,34,4,6,0
35,5,Infectious active,0,Uninitialized,0,,,35,5,0,0
36,5,Infectious active,1,Uninfected,0,,,36,5,1,0
37,5,Infectious active,2,Fast latent,0,,,37,5,2,0
38,5,Infectious active,3,Slow latent,0,,,38,5,3,0
39,5,Infectious active,4,Non-infectious active,1,,,39,5,4,1
40,5,Infectious active,5,Infectious active,0,,,40,5,5,0
41,5,Infectious active,6,Death,0,,,41,5,6,0
42,6,Death,0,Uninitialized,0,,,42,6,0,0
43,6,Death,1,Uninfected,0,,,43,6,1,0
44,6,Death,2,Fast latent,0,,,44,6,2,0
45,6,Death,3,Slow latent,1,,,45,6,3,1
46,6,Death,4,Non-infectious active,0,,,46,6,4,0
47,6,Death,5,Infectious active,0,,,47,6,5,0
48,6,Death,6,Death,0,,,48,6,6,0
49,7,Uninitialized,7,Uninitialized,0,,,49,7,7,0
50,7,Uninitialized,8,Uninfected,1,,,50,7,8,1
51,7,Uninitialized,9,Untreated,0,,,51,7,9,0
52,7,Uninitialized,10,Treated,0,,,52,7,10,0
53,7,Uninitialized,11,Death,0,,,53,7,11,0
54,8,Uninfected,7,Uninitialized,0,,,54,8,7,0
55,8,Uninfected,8,Uninfected,0,,,55,8,8,0
56,8,Uninfected,9,Untreated,0,,,56,8,9,0
57,8,Uninfected,10,Treated,0,,,57,8,10,0
58,8,Uninfected,11,Death,1,,,58,8,11,1
59,9,Untreated,7,Uninitialized,0,,,59,9,7,0
60,9,Untreated,8,Uninfected,0,,,60,9,8,0
61,9,Untreated,9,Untreated,0,,,61,9,9,0
62,9,Untreated,10,Treated,1,,,62,9,10,1
63,9,Untreated,11,Death,0,,,63,9,11,0
64,10,Treated,7,Uninitialized,0,,,64,10,7,0
65,10,Treated,8,Uninfected,0,,,65,10,8,0
66,10,Treated,9,Untreated,0,,,66,10,9,0
67,10,Treated,10,Treated,0,,,67,10,10,0
68,10,Treated,11,Death,1,,,68,10,11,1
69,11,Death,7,Uninitialized,0,,,69,11,7,0
70,11,Death,8,Uninfected,0,,,70,11,8,0
71,11,Death,9,Untreated,0,,,71,11,9,0
72,11,Death,10,Treated,1,,,72,11,10,1
73,11,Death,11,Death,0,,,73,11,11,0
74,12,Uninitialized,12,Uninitialized,0,,,74,12,12,0
75,12,Uninitialized,13,Uninfected,1,,,75,12,13,1
76,12,Uninitialized,14,Sensitive,0,,,76,12,14,0
77,12,Uninitialized,15,Isoniazid,0,,,77,12,15,0
78,12,Uninitialized,16,INH resistant,0,,,78,12,16,0
79,12,Uninitialized,17,RIF resistant,0,,,79,12,17,0
80,12,Uninitialized,18,MDR,0,,,80,12,18,0
81,12,Uninitialized,19,XDR,0,,,81,12,19,0
82,12,Uninitialized,20,Death,0,,,82,12,20,0
83,13,Uninfected,12,Uninitialized,0,,,83,13,12,0
84,13,Uninfected,13,Uninfected,0,,,84,13,13,0
85,13,Uninfected,14,Sensitive,0,,,85,13,14,0
86,13,Uninfected,15,Isoniazid,0,,,86,13,15,0
87,13,Uninfected,16,INH resistant,0,,,87,13,16,0
88,13,Uninfected,17,RIF resistant,1,,,88,13,17,1
89,13,Uninfected,18,MDR,0,,,89,13,18,0
90,13,Uninfected,19,XDR,0,,,90,13,19,0
91,13,Uninfected,20,Death,0,,,91,13,20,0
92,14,Sensitive,12,Uninitialized,0,,,92,14,12,0
93,14,Sensitive,13,Uninfected,0,,,93,14,13,0
94,14,Sensitive,14,Sensitive,0,,,94,14,14,0
95,14,Sensitive,15,Isoniazid,0,,,95,14,15,0
96,14,Sensitive,16,INH resistant,0,,,96,14,16,0
97,14,Sensitive,17,RIF resistant,1,,,97,14,17,1
98,14,Sensitive,18,MDR,0,,,98,14,18,0
99,14,Sensitive,19,XDR,0,,,99,14,19,0
100,14,Sensitive,20,Death,0,,,100,14,20,0
101,15,Isoniazid,12,Uninitialized,0,,,101,15,12,0
102,15,Isoniazid,13,Uninfected,0,,,102,15,13,0
103,15,Isoniazid,14,Sensitive,0,,,103,15,14,0
104,15,Isoniazid,15,Isoniazid,0,,,104,15,15,0
105,15,Isoniazid,16,INH resistant,0,,,105,15,16,0
106,15,Isoniazid,17,RIF resistant,0,,,106,15,17,0
107,15,Isoniazid,18,MDR,0,,,107,15,18,0
108,15,Isoniazid,19,XDR,0,,,108,15,19,0
109,15,Isoniazid,20,Death,1,,,109,15,20,1
110,16,INH resistant,12,Uninitialized,0,,,110,16,12,0
111,16,INH resistant,13,Uninfected,0,,,111,16,13,0
112,16,INH resistant,14,Sensitive,0,,,112,16,14,0
113,16,INH resistant,15,Isoniazid,1,,,113,16,15,1
114,16,INH resistant,16,INH resistant,0,,,114,16,16,0
115,16,INH resistant,17,RIF resistant,0,,,115,16,17,0
116,16,INH resistant,18,MDR,0,,,116,16,18,0
117,16,INH resistant,19,XDR,0,,,117,16,19,0
118,16,INH resistant,20,Death,0,,,118,16,20,0
119,17,RIF resistant,12,Uninitialized,0,,,119,17,12,0
120,17,RIF resistant,13,Uninfected,0,,,120,17,13,0
121,17,RIF resistant,14,Sensitive,0,,,121,17,14,0
122,17,RIF resistant,15,Isoniazid,0,,,122,17,15,0
123,17,RIF resistant,16,INH resistant,0,,,123,17,16,0
124,17,RIF resistant,17,RIF resistant,1,,,124,17,17,1
125,17,RIF resistant,18,MDR,0,,,125,17,18,0
126,17,RIF resistant,19,XDR,0,,,126,17,19,0
127,17,RIF resistant,20,Death,0,,,127,17,20,0
128,18,MDR,12,Uninitialized,0,,,128,18,12,0
129,18,MDR,13,Uninfected,0,,,129,18,13,0
130,18,MDR,14,Sensitive,1,,,130,18,14,1
131,18,MDR,15,Isoniazid,0,,,131,18,15,0
132,18,MDR,16,INH resistant,0,,,132,18,16,0
133,18,MDR,17,RIF resistant,0,,,133,18,17,0
134,18,MDR,18,MDR,0,,,134,18,18,0
135,18,MDR,19,XDR,0,,,135,18,19,0
136,18,MDR,20,Death,0,,,136,18,20,0
137,19,XDR,12,Uninitialized,0,,,137,19,12,0
138,19,XDR,13,Uninfected,0,,,138,19,13,0
139,19,XDR,14,Sensitive,0,,,139,19,14,0
