,from_id,from_name,to_id,to_name,tp_base
0,0.0,Uninitialized,0.0,Uninitialized,0.0
1,0.0,Uninitialized,1.0,Uninfected,1.0
2,0.0,Uninitialized,2.0,Fast latent,0.0
3,0.0,Uninitialized,3.0,Slow latent,0.0
4,0.0,Uninitialized,4.0,Non-infectious active,0.0
5,0.0,Uninitialized,5.0,Infectious active,0.0
6,0.0,Uninitialized,6.0,Death,0.0
7,1.0,Uninfected,0.0,Uninitialized,0.0
8,1.0,Uninfected,1.0,Uninfected,0.0
9,1.0,Uninfected,2.0,Fast latent,0.0
10,1.0,Uninfected,3.0,Slow latent,1.0
11,1.0,Uninfected,4.0,Non-infectious active,0.0
12,1.0,Uninfected,5.0,Infectious active,0.0
13,1.0,Uninfected,6.0,Death,0.0
14,2.0,Fast latent,0.0,Uninitialized,0.0
15,2.0,Fast latent,1.0,Uninfected,0.0
16,2.0,Fast latent,2.0,Fast latent,0.0
17,2.0,Fast latent,3.0,Slow latent,0.0
18,2.0,Fast latent,4.0,Non-infectious active,0.0
19,2.0,Fast latent,5.0,Infectious active,0.0
20,2.0,Fast latent,6.0,Death,1.0
21,3.0,Slow latent,0.0,Uninitialized,0.0
22,3.0,Slow latent,1.0,Uninfected,0.0
23,3.0,Slow latent,2.0,Fast latent,0.0
24,3.0,Slow latent,3.0,Slow latent,0.0
25,3.0,Slow latent,4.0,Non-infectious active,0.0
26,3.0,Slow latent,5.0,Infectious active,0.0
27,3.0,Slow latent,6.0,Death,1.0
28,4.0,Non-infectious active,0.0,Uninitialized,0.0
29,4.0,Non-infectious active,1.0,Uninfected,0.0
30,4.0,Non-infectious active,2.0,Fast latent,0.0
31,4.0,Non-infectious active,3.0,Slow latent,1.0
32,4.0,Non-infectious active,4.0,Non-infectious active,0.0
33,4.0,Non-infectious active,5.0,Infectious active,0.0
34,4.0,Non-infectious active,6.0,Death,0.0
35,5.0,Infectious active,0.0,Uninitialized,0.0
36,5.0,Infectious active,1.0,Uninfected,0.0
37,5.0,Infectious active,2.0,Fast latent,0.0
38,5.0,Infectious active,3.0,Slow latent,0.0
39,5.0,Infectious active,4.0,Non-infectious active,1.0
40,5.0,Infectious active,5.0,Infectious active,0.0
41,5.0,Infectious active,6.0,Death,0.0
42,6.0,Death,0.0,Uninitialized,0.0
43,6.0,Death,1.0,Uninfected,0.0
44,6.0,Death,2.0,Fast latent,0.0
45,6.0,Death,3.0,Slow latent,1.0
46,6.0,Death,4.0,Non-infectious active,0.0
47,6.0,Death,5.0,Infectious active,0.0
48,6.0,Death,6.0,Death,0.0
49,7.0,Uninitialized,7.0,Uninitialized,0.0
50,7.0,Uninitialized,8.0,Uninfected,1.0
51,7.0,Uninitialized,9.0,Untreated,0.0
52,7.0,Uninitialized,10.0,Treated,0.0
53,7.0,Uninitialized,11.0,Death,0.0
54,8.0,Uninfected,7.0,Uninitialized,0.0
55,8.0,Uninfected,8.0,Uninfected,0.0
56,8.0,Uninfected,9.0,Untreated,0.0
57,8.0,Uninfected,10.0,Treated,0.0
58,8.0,Uninfected,11.0,Death,1.0
59,9.0,Untreated,7.0,Uninitialized,0.0
60,9.0,Untreated,8.0,Uninfected,0.0
61,9.0,Untreated,9.0,Untreated,0.0
62,9.0,Untreated,10.0,Treated,1.0
63,9.0,Untreated,11.0,Death,0.0
64,10.0,Treated,7.0,Uninitialized,0.0
65,10.0,Treated,8.0,Uninfected,0.0
66,10.0,Treated,9.0,Untreated,0.0
67,10.0,Treated,10.0,Treated,0.0
68,10.0,Treated,11.0,Death,1.0
69,11.0,Death,7.0,Uninitialized,0.0
70,11.0,Death,8.0,Uninfected,0.0
71,11.0,Death,9.0,Untreated,0.0
72,11.0,Death,10.0,Treated,1.0
73,11.0,Death,11.0,Death,0.0
74,12.0,Uninitialized,12.0,Uninitialized,0.0
75,12.0,Uninitialized,13.0,Uninfected,1.0
76,12.0,Uninitialized,14.0,Sensitive,0.0
77,12.0,Uninitialized,15.0,Isoniazid,0.0
78,12.0,Uninitialized,16.0,INH resistant,0.0
79,12.0,Uninitialized,17.0,RIF resistant,0.0
80,12.0,Uninitialized,18.0,MDR,0.0
81,12.0,Uninitialized,19.0,XDR,0.0
82,12.0,Uninitialized,20.0,Death,0.0
83,13.0,Uninfected,12.0,Uninitialized,0.0
84,13.0,Uninfected,13.0,Uninfected,0.0
85,13.0,Uninfected,14.0,Sensitive,0.0
86,13.0,Uninfected,15.0,Isoniazid,0.0
87,13.0,Uninfected,16.0,INH resistant,0.0
88,13.0,Uninfected,17.0,RIF resistant,1.0
89,13.0,Uninfected,18.0,MDR,0.0
90,13.0,Uninfected,19.0,XDR,0.0
91,13.0,Uninfected,20.0,Death,0.0
92,14.0,Sensitive,12.0,Uninitialized,0.0
93,14.0,Sensitive,13.0,Uninfected,0.0
94,14.0,Sensitive,14.0,Sensitive,0.0
95,14.0,Sensitive,15.0,Isoniazid,0.0
96,14.0,Sensitive,16.0,INH resistant,0.0
97,14.0,Sensitive,17.0,RIF resistant,1.0
98,14.0,Sensitive,18.0,MDR,0.0
99,14.0,Sensitive,19.0,XDR,0.0
100,14.0,Sensitive,20.0,Death,0.0
101,15.0,Isoniazid,12.0,Uninitialized,0.0
102,15.0,Isoniazid,13.0,Uninfected,0.0
103,15.0,Isoniazid,14.0,Sensitive,0.0
104,15.0,Isoniazid,15.0,Isoniazid,0.0
105,15.0,Isoniazid,16.0,INH resistant,0.0
106,15.0,Isoniazid,17.0,RIF resistant,0.0
107,15.0,Isoniazid,18.0,MDR,0.0
108,15.0,Isoniazid,19.0,XDR,0.0
109,15.0,Isoniazid,20.0,Death,1.0
110,16.0,INH resistant,12.0,Uninitialized,0.0
111,16.0,INH resistant,13.0,Uninfected,0.0
112,16.0,INH resistant,14.0,Sensitive,0.0
113,16.0,INH resistant,15.0,Isoniazid,1.0
