model_id,id,name,is_unitialized_state
0,0,Unitialized1,TRUE
0,1,Unitialized2,FALSE
0,2,No NAFLD,FALSE
0,3,Steatosis,FALSE
0,4,NASH,FALSE
0,5,Cirrhosis,FALSE
0,6,HCC,FALSE
0,7,Liver death,FALSE
0,8,Natural death,FALSE
0,9,Other death,FALSE
1,10,Unitialized1,TRUE
1,11,Unitialized2,FALSE
1,12,No CHD,FALSE
1,13,CHD,FALSE
1,14,CHD Death,FALSE
1,15,Other death,FALSE
2,16,Unitialized1,TRUE
2,17,Unitialized2,FALSE
2,18,No T2DM,FALSE
2,19,T2DM,FALSE
2,20,T2DM Death,FALSE
2,21,Other death,FALSE
3,22,Unitialized1,TRUE
3,23,Unitialized2,FALSE
3,24,Healthy weight,FALSE
3,25,Overweight,FALSE
3,26,Obese,FALSE
3,27,Other death,FALSE
4,28,Unitialized1,TRUE
4,29,Non-hispanic white,FALSE
4,30,Non-hispanic black,FALSE
4,31,Hispanic,FALSE
4,32,Other death,FALSE
5,33,Unitialized1,TRUE
5,34,Male,FALSE
5,35,Female,FALSE
5,36,Other death,FALSE
6,37,Unitialized1,TRUE
6,38,Acitve,FALSE
6,39,Inactive,FALSE
6,40,Other death,FALSE
7,41,Unitialized1,TRUE
7,42,Increase risk ,FALSE
7,43,No increased risk,FALSE
7,44,Other death,FALSE
8,45,Unitialized1,TRUE
8,46,Increase risk ,FALSE
8,47,No increased risk,FALSE
8,48,Other death,FALSE
9,49,Unitialized1,TRUE
9,50,Decreased risk ,FALSE
9,51,No decreased risk,FALSE
9,52,Other death,FALSE
