,from_id,from_name,to_id,to_name,tp_base
0,0.0,Unitialized1,0.0,Unitialized1,0.0
1,0.0,Unitialized1,1.0,Unitialized2,0.0
2,0.0,Unitialized1,2.0,No NAFLD,0.0
3,0.0,Unitialized1,3.0,Steatosis,0.0
4,0.0,Unitialized1,4.0,NASH,0.0
5,0.0,Unitialized1,5.0,Cirrhosis,1.0
6,0.0,Unitialized1,6.0,HCC,0.0
7,0.0,Unitialized1,7.0,Liver death,0.0
8,0.0,Unitialized1,8.0,Natural death,0.0
9,0.0,Unitialized1,9.0,Other death,0.0
10,1.0,Unitialized2,0.0,Unitialized1,0.0
11,1.0,Unitialized2,1.0,Unitialized2,0.0
12,1.0,Unitialized2,2.0,No NAFLD,1.0
13,1.0,Unitialized2,3.0,Steatosis,0.0
14,1.0,Unitialized2,4.0,NASH,0.0
15,1.0,Unitialized2,5.0,Cirrhosis,0.0
16,1.0,Unitialized2,6.0,HCC,0.0
17,1.0,Unitialized2,7.0,Liver death,0.0
18,1.0,Unitialized2,8.0,Natural death,0.0
19,1.0,Unitialized2,9.0,Other death,0.0
20,2.0,No NAFLD,0.0,Unitialized1,0.0
21,2.0,No NAFLD,1.0,Unitialized2,0.0
22,2.0,No NAFLD,2.0,No NAFLD,0.0
23,2.0,No NAFLD,3.0,Steatosis,0.0
24,2.0,No NAFLD,4.0,NASH,0.0
25,2.0,No NAFLD,5.0,Cirrhosis,0.0
26,2.0,No NAFLD,6.0,HCC,0.0
27,2.0,No NAFLD,7.0,Liver death,1.0
28,2.0,No NAFLD,8.0,Natural death,0.0
29,2.0,No NAFLD,9.0,Other death,0.0
30,3.0,Steatosis,0.0,Unitialized1,0.0
31,3.0,Steatosis,1.0,Unitialized2,0.0
32,3.0,Steatosis,2.0,No NAFLD,0.0
33,3.0,Steatosis,3.0,Steatosis,1.0
34,3.0,Steatosis,4.0,NASH,0.0
35,3.0,Steatosis,5.0,Cirrhosis,0.0
36,3.0,Steatosis,6.0,HCC,0.0
37,3.0,Steatosis,7.0,Liver death,0.0
38,3.0,Steatosis,8.0,Natural death,0.0
39,3.0,Steatosis,9.0,Other death,0.0
40,4.0,NASH,0.0,Unitialized1,0.0
41,4.0,NASH,1.0,Unitialized2,0.0
42,4.0,NASH,2.0,No NAFLD,0.0
43,4.0,NASH,3.0,Steatosis,0.0
44,4.0,NASH,4.0,NASH,0.0
45,4.0,NASH,5.0,Cirrhosis,0.0
46,4.0,NASH,6.0,HCC,0.0
47,4.0,NASH,7.0,Liver death,0.0
48,4.0,NASH,8.0,Natural death,1.0
49,4.0,NASH,9.0,Other death,0.0
