Id,Variable,Input_file,Distribution,Run1,Run2,Run3,Run4,Run5,Value
0,Not varied in PSA,All,none,0,0,0,0,0,0
1,DALY value for T2D,disability-weights,beta,0.0165,0.02475,0.033,0.0495,0.066,0
2,DALY value for CHD,disability-weights,beta,0.043,0.0545,0.066,0.0805,0.095,0
3,DALY value for Obesity,disability-weights,beta,0.001,0.0065,0.012,0.017,0.022,0
4,DALY value for NASH,disability-weights,beta,0.08,0.115,0.15,0.185,0.22,0
5,DALY value for Cirrhosis,disability-weights,beta,0.127,0.1605,0.194,0.2335,0.273,0
6,DALY value for HCC,disability-weights,beta,0.199,0.2465,0.294,0.3525,0.411,0
7,Yearly direct costs for Steatosis,costs,gamma,67,100.5,134,201,268,0
8,Yearly direct costs for NASH,costs,gamma,133.5,200.25,267,400.5,534,0
9,Yearly direct costs for Cirrhosis,costs,gamma,1430.5,2145.75,2861,4291.5,5722,0
10,Yearly direct costs for HCC,costs,gamma,21322,31983,42644,63966,85288,0
11,Yearly direct costs for CHD,costs,gamma,6616.5,9924.75,13233,19849.5,26466,0
12,Yearly direct costs for T2D,costs,gamma,4085,6127.5,8170,12255,16340,0
13,Yearly direct costs for Overweight,costs,gamma,171.5,257.25,343,514.5,686,0
14,Yearly direct costs for Obesity,costs,gamma,458,687,916,1374,1832,0
15,Baseline TP NAFLD: non-NAFLD -> steatosis,transition-probabilities,beta,0.0067,0.00835,0.01,0.0125,0.015,0
16,Baseline TP NAFLD: non-NAFLD -> NASH,transition-probabilities,beta,0.000201,0.0002505,0.0003,0.000375,0.00045,0
17,Baseline TP NAFLD: each NAFLD state -> natural death,transition-probabilities,beta,0.0067,0.00835,0.01,0.0125,0.015,0
18,Baseline TP NAFLD: steatosis -> non-NAFLD,transition-probabilities,beta,0.0134,0.0167,0.02,0.025,0.03,0
19,Baseline TP NAFLD: steatosis -> NASH,transition-probabilities,beta,0.00402,0.00501,0.006,0.0075,0.009,0
20,Baseline TP NAFLD: steatosis -> cirrhosis,transition-probabilities,beta,0.000134,0.000167,0.0002,0.00025,0.0003,0
21,Baseline TP NAFLD: NASH -> non-NAFLD,transition-probabilities,beta,0.00067,0.000835,0.001,0.00125,0.0015,0
22,Baseline TP NAFLD: NASH -> steatosis,transition-probabilities,beta,0.0134,0.0167,0.02,0.025,0.03,0
23,Baseline TP NAFLD: NASH -> cirrhosis,transition-probabilities,beta,0.00134,0.00167,0.002,0.0025,0.003,0
24,Baseline TP NAFLD: NASH -> HCC,transition-probabilities,beta,0.000067,0.0000835,0.0001,0.000125,0.00015,0
25,Baseline TP NAFLD: NASH -> Liver death,transition-probabilities,beta,0.002546,0.003173,0.0038,0.00475,0.0057,0
26,Baseline TP NAFLD: cirrhosis -> HCC,transition-probabilities,beta,0.0134,0.0167,0.02,0.025,0.03,0
27,Baseline TP NAFLD: cirrhosis -> Liver death,transition-probabilities,beta,0.02278,0.02839,0.034,0.0425,0.051,0
28,Baseline TP NAFLD: HCC -> Liver death,transition-probabilities,beta,0.335,0.4175,0.5,0.625,0.75,0
29,Baseline TP CHD: Non-CHD -> CHD,transition-probabilities,beta,0.003015,0.0037575,0.0045,0.005625,0.00675,0
30,Baseline TP CHD: CHD -> CHD death,transition-probabilities,beta,0.0067,0.00835,0.01,0.0125,0.015,0
31,Baseline TP T2D: non-T2D -> T2D,transition-probabilities,beta,0.003015,0.0037575,0.0045,0.005625,0.00675,0
32,Baseline TP T2D: T2D -> T2D death,transition-probabilities,beta,0.0067,0.00835,0.01,0.0125,0.015,0
