Id,Model_id,Model_name,To_state_id,To_state_name,Sex_state_id,Race_state_id,Age,Probability
0,3,BMI,25,Overweight,36,32,20,0.395
1,3,BMI,25,Overweight,36,32,21,0.395
2,3,BMI,25,Overweight,36,32,22,0.395
3,3,BMI,25,Overweight,36,32,23,0.395
4,3,BMI,25,Overweight,36,32,24,0.395
5,3,BMI,25,Overweight,36,32,25,0.395
6,3,BMI,25,Overweight,36,32,26,0.395
7,3,BMI,25,Overweight,36,32,27,0.395
8,3,BMI,25,Overweight,36,32,28,0.395
9,3,BMI,25,Overweight,36,32,29,0.395
10,3,BMI,25,Overweight,36,32,30,0.395
11,3,BMI,25,Overweight,36,32,31,0.395
12,3,BMI,25,Overweight,36,32,32,0.395
13,3,BMI,25,Overweight,36,32,33,0.395
14,3,BMI,25,Overweight,36,32,34,0.395
15,3,BMI,25,Overweight,36,32,35,0.395
16,3,BMI,25,Overweight,36,32,36,0.395
17,3,BMI,25,Overweight,36,32,37,0.395
18,3,BMI,25,Overweight,36,32,38,0.395
19,3,BMI,25,Overweight,36,32,39,0.395
20,3,BMI,25,Overweight,36,32,40,0.395
21,3,BMI,25,Overweight,36,32,41,0.395
22,3,BMI,25,Overweight,36,32,42,0.395
23,3,BMI,25,Overweight,36,32,43,0.395
24,3,BMI,25,Overweight,36,32,44,0.395
25,3,BMI,25,Overweight,36,32,45,0.438
26,3,BMI,25,Overweight,36,32,46,0.438
27,3,BMI,25,Overweight,36,32,47,0.438
28,3,BMI,25,Overweight,36,32,48,0.438
29,3,BMI,25,Overweight,36,32,49,0.438
30,3,BMI,25,Overweight,36,32,50,0.438
31,3,BMI,25,Overweight,36,32,51,0.438
32,3,BMI,25,Overweight,36,32,52,0.438
33,3,BMI,25,Overweight,36,32,53,0.438
34,3,BMI,25,Overweight,36,32,54,0.438
35,3,BMI,25,Overweight,36,32,55,0.438
36,3,BMI,25,Overweight,36,32,56,0.438
37,3,BMI,25,Overweight,36,32,57,0.438
38,3,BMI,25,Overweight,36,32,58,0.438
39,3,BMI,25,Overweight,36,32,59,0.438
40,3,BMI,25,Overweight,36,32,60,0.438
