Id,From_id,To_id,Tp_base,PSA_id
0,0,0,0,0
1,0,1,1,0
2,0,2,0,0
3,0,3,0,0
4,0,4,0,0
5,0,5,0,0
6,0,6,0,0
7,0,7,0,0
8,0,8,0,0
9,0,9,0,0
10,1,0,0,0
11,1,1,0,0
12,1,2,0.69975,0
13,1,3,0.234,0
14,1,4,0.06,0
15,1,5,0.006,0
16,1,6,0.00025,0
17,1,7,0,0
18,1,8,0,0
19,1,9,0,0
20,2,0,0,0
21,2,1,0,0
22,2,2,0.9797,0
23,2,3,0.01,15
24,2,4,0.0003,16
25,2,5,0,0
26,2,6,0,0
27,2,7,0,0
28,2,8,0.01,17
29,2,9,0,0
30,3,0,0,0
31,3,1,0,0
32,3,2,0.02,18
33,3,3,0.9638,0
34,3,4,0.006,19
35,3,5,0.0002,20
36,3,6,0,0
37,3,7,0,0
38,3,8,0.01,17
39,3,9,0,0
40,4,0,0,0
41,4,1,0,0
42,4,2,0.001,21
43,4,3,0.02,22
44,4,4,0.9631,0
45,4,5,0.002,23
46,4,6,0.0001,24
47,4,7,0.0038,25
48,4,8,0.01,17
49,4,9,0,0
50,5,0,0,0
51,5,1,0,0
52,5,2,0,0
53,5,3,0,0
54,5,4,0,0
55,5,5,0.936,0
56,5,6,0.02,26
57,5,7,0.034,27
58,5,8,0.01,17
59,5,9,0,0
60,6,0,0,0
61,6,1,0,0
62,6,2,0,0
63,6,3,0,0
64,6,4,0,0
65,6,5,0,0
66,6,6,0.5,0
67,6,7,0.5,28
68,6,8,0,0
69,6,9,0,0
70,7,0,0,0
71,7,1,0,0
72,7,2,0,0
73,7,3,0,0
74,7,4,0,0
75,7,5,0,0
76,7,6,0,0
77,7,7,1,0
78,7,8,0,0
79,7,9,0,0
80,8,0,0,0
81,8,1,0,0
82,8,2,0,0
83,8,3,0,0
84,8,4,0,0
85,8,5,0,0
86,8,6,0,0
87,8,7,0,0
88,8,8,1,0
89,8,9,0,0
90,9,0,0,0
91,9,1,0,0
92,9,2,0,0
93,9,3,0,0
94,9,4,0,0
95,9,5,0,0
96,9,6,0,0
97,9,7,0,0
98,9,8,0,0
99,9,9,1,0
100,10,10,0,0
101,10,11,1,0
102,10,12,0,0
103,10,13,0,0
104,10,14,0,0
105,10,15,0,0
106,11,10,0,0
107,11,11,1,0
108,11,12,0,0
109,11,13,0,0
110,11,14,0,0
111,11,15,0,0
112,12,10,0,0
113,12,11,0,0
114,12,12,0.995,0
115,12,13,0.005,29
116,12,14,0,0
117,12,15,0,0
118,13,10,0,0
119,13,11,0,0
120,13,12,0,0
121,13,13,0.99,0
122,13,14,0.01,30
123,13,15,0,0
124,14,10,0,0
125,14,11,0,0
126,14,12,0,0
127,14,13,0,0
128,14,14,1,0
129,14,15,0,0
130,15,10,0,0
131,15,11,0,0
132,15,12,0,0
133,15,13,0,0
134,15,14,0,0
135,15,15,1,0
136,16,16,0,0
137,16,17,1,0
138,16,18,0,0
139,16,19,0,0
140,16,20,0,0
141,16,21,0,0
142,17,16,0,0
143,17,17,1,0
144,17,18,0,0
145,17,19,0,0
146,17,20,0,0
147,17,21,0,0
148,18,16,0,0
149,18,17,0,0
150,18,18,0.99,0
151,18,19,0.01,31
152,18,20,0,0
153,18,21,0,0
154,19,16,0,0
155,19,17,0,0
156,19,18,0,0
157,19,19,0.99,0
158,19,20,0.01,32
159,19,21,0,0
160,20,16,0,0
161,20,17,0,0
162,20,18,0,0
163,20,19,0,0
164,20,20,1,0
165,20,21,0,0
166,21,16,0,0
167,21,17,0,0
168,21,18,0,0
169,21,19,0,0
170,21,20,0,0
171,21,21,1,0
172,22,22,0,0
173,22,23,1,0
174,22,24,0,0
175,22,25,0,0
176,22,26,0,0
177,22,27,0,0
178,23,22,0,0
179,23,23,1,0
180,23,24,0,0
181,23,25,0,0
182,23,26,0,0
183,23,27,0,0
184,24,22,0,0
185,24,23,0,0
186,24,24,0.944,0
187,24,25,0.05,33
188,24,26,0.006,34
189,24,27,0,0
190,25,22,0,0
191,25,23,0,0
192,25,24,0.03,35
193,25,25,0.946,0
194,25,26,0.024,36
195,25,27,0,0
196,26,22,0,0
197,26,23,0,0
198,26,24,0.002,37
199,26,25,0.02,38
200,26,26,0.978,0
201,26,27,0,0
202,27,22,0,0
203,27,23,0,0
204,27,24,0,0
205,27,25,0,0
206,27,26,0,0
207,27,27,1,0
208,28,29,1,0
209,29,30,0.743771,0
210,29,31,0.115852,0
211,29,32,0.140377,0
212,29,33,0,0
213,29,34,0,0
214,30,30,1,0
215,31,31,1,0
216,32,32,1,0
217,33,33,1,0
218,34,35,1,0
219,35,36,0.484388,0
220,35,37,0.515612,0
221,36,36,1,0
222,37,37,1,0
223,38,38,1,0
224,39,40,1,0
225,40,41,0.70004767,0
226,40,42,0.29995233,0
227,41,41,1,0
228,42,42,1,0
229,43,43,1,0
230,44,45,1,0
231,45,46,0.019194468,0
232,45,47,0.019194468,0
233,45,48,0.019194468,0
234,45,49,0.019194468,0
235,45,50,0.019194468,0
236,45,51,0.018700907,0
237,45,52,0.018700907,0
238,45,53,0.018700907,0
239,45,54,0.018700907,0
240,45,55,0.018700907,0
241,45,56,0.0177493,0
242,45,57,0.0177493,0
243,45,58,0.0177493,0
244,45,59,0.0177493,0
245,45,60,0.0177493,0
246,45,61,0.017756917,0
247,45,62,0.017756917,0
248,45,63,0.017756917,0
249,45,64,0.017756917,0
250,45,65,0.017756917,0
251,45,66,0.018486967,0
252,45,67,0.018486967,0
