Id,From_id,To_id,Tp_base
0,0,0,0
1,0,1,1
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,1,0,0
11,1,1,0
12,1,2,0.69975
13,1,3,0.234
14,1,4,0.06
15,1,5,0.006
16,1,6,0.00025
17,1,7,0
18,1,8,0
19,1,9,0
20,2,0,0
21,2,1,0
22,2,2,0.9797
23,2,3,0.01
24,2,4,0.0003
25,2,5,0
26,2,6,0
27,2,7,0
28,2,8,0.01
29,2,9,0
30,3,0,0
31,3,1,0
32,3,2,0.02
33,3,3,0.9638
34,3,4,0.006
35,3,5,0.0002
36,3,6,0
37,3,7,0
38,3,8,0.01
39,3,9,0
40,4,0,0
41,4,1,0
42,4,2,0.001
43,4,3,0.02
44,4,4,0.9631
45,4,5,0.002
46,4,6,0.0001
47,4,7,0.0038
48,4,8,0.01
49,4,9,0
50,5,0,0
51,5,1,0
52,5,2,0
53,5,3,0
54,5,4,0
55,5,5,0.936
56,5,6,0.02
57,5,7,0.034
58,5,8,0.01
59,5,9,0
60,6,0,0
61,6,1,0
62,6,2,0
63,6,3,0
64,6,4,0
65,6,5,0
66,6,6,0.5
67,6,7,0.5
68,6,8,0
69,6,9,0
70,7,0,0
71,7,1,0
72,7,2,0
73,7,3,0
74,7,4,0
75,7,5,0
76,7,6,0
77,7,7,1
78,7,8,0
79,7,9,0
80,8,0,0
81,8,1,0
82,8,2,0
83,8,3,0
84,8,4,0
85,8,5,0
86,8,6,0
87,8,7,0
88,8,8,1
89,8,9,0
90,9,0,0
91,9,1,0
92,9,2,0
93,9,3,0
94,9,4,0
95,9,5,0
96,9,6,0
97,9,7,0
98,9,8,0
99,9,9,1
100,10,10,0
101,10,11,1
102,10,12,0
103,10,13,0
104,10,14,0
105,10,15,0
106,11,10,0
107,11,11,1
108,11,12,0
109,11,13,0
110,11,14,0
111,11,15,0
112,12,10,0
113,12,11,0
114,12,12,0.995
115,12,13,0.005
116,12,14,0
117,12,15,0
118,13,10,0
119,13,11,0
120,13,12,0
121,13,13,0.99
122,13,14,0.01
123,13,15,0
124,14,10,0
125,14,11,0
126,14,12,0
127,14,13,0
128,14,14,1
129,14,15,0
130,15,10,0
131,15,11,0
132,15,12,0
133,15,13,0
134,15,14,0
135,15,15,1
136,16,16,0
137,16,17,1
138,16,18,0
139,16,19,0
140,16,20,0
141,16,21,0
142,17,16,0
143,17,17,1
144,17,18,0
145,17,19,0
146,17,20,0
147,17,21,0
148,18,16,0
149,18,17,0
150,18,18,0.99
151,18,19,0.01
152,18,20,0
153,18,21,0
154,19,16,0
155,19,17,0
156,19,18,0
157,19,19,0.99
158,19,20,0.01
159,19,21,0
160,20,16,0
161,20,17,0
162,20,18,0
163,20,19,0
164,20,20,1
165,20,21,0
166,21,16,0
167,21,17,0
168,21,18,0
169,21,19,0
170,21,20,0
171,21,21,1
172,22,22,0
173,22,23,1
174,22,24,0
175,22,25,0
176,22,26,0
177,22,27,0
178,23,22,0
179,23,23,1
180,23,24,0
181,23,25,0
182,23,26,0
183,23,27,0
184,24,22,0
185,24,23,0
186,24,24,0.944
187,24,25,0.05
188,24,26,0.006
189,24,27,0
190,25,22,0
191,25,23,0
192,25,24,0.03
193,25,25,0.946
194,25,26,0.024
195,25,27,0
196,26,22,0
197,26,23,0
198,26,24,0.002
199,26,25,0.02
200,26,26,0.978
201,26,27,0
202,27,22,0
203,27,23,0
204,27,24,0
205,27,25,0
206,27,26,0
207,27,27,1
208,28,28,0
209,28,29,0.743771
210,28,30,0.115852
211,28,31,0.140377
212,28,32,0
213,29,28,0
214,29,29,1
215,29,30,0
216,29,31,0
217,29,32,0
218,30,28,0
219,30,29,0
220,30,30,1
221,30,31,0
222,30,32,0
223,31,28,0
224,31,29,0
225,31,30,0
226,31,31,1
227,31,32,0
228,32,28,0
229,32,29,0
230,32,30,0
231,32,31,0
232,32,32,1
233,33,33,0
234,33,34,0.484388
235,33,35,0.515612
236,33,36,0
237,34,33,0
238,34,34,1
239,34,35,0
240,34,36,0
241,35,33,0
242,35,34,0
243,35,35,1
244,35,36,0
245,36,33,0
246,36,34,0
247,36,35,0
248,36,36,1
249,37,37,0
250,37,38,0.70004767
251,37,39,0.29995233
252,37,40,0
253,38,37,0
254,38,38,1
255,38,39,0
256,38,40,0
257,39,37,0
258,39,38,0
259,39,39,1
260,39,40,0
261,40,37,0
262,40,38,0
263,40,39,0
264,40,40,1
265,41,41,0
266,41,42,0.019194468
267,41,43,0.019194468
268,41,44,0.019194468
269,41,45,0.019194468
270,41,46,0.019194468
271,41,47,0.018700907
272,41,48,0.018700907
273,41,49,0.018700907
274,41,50,0.018700907
275,41,51,0.018700907
276,41,52,0.0177493
277,41,53,0.0177493
278,41,54,0.0177493
279,41,55,0.0177493
280,41,56,0.0177493
281,41,57,0.017756917
282,41,58,0.017756917
283,41,59,0.017756917
284,41,60,0.017756917
285,41,61,0.017756917
286,41,62,0.018486967
287,41,63,0.018486967
288,41,64,0.018486967
289,41,65,0.018486967
290,41,66,0.018486967
291,41,67,0.020017816
292,41,68,0.020017816
293,41,69,0.020017816
294,41,70,0.020017816
295,41,71,0.020017816
296,41,72,0.019766711
297,41,73,0.019766711
298,41,74,0.019766711
299,41,75,0.019766711
300,41,76,0.019766711
301,41,77,0.017505182
302,41,78,0.017505182
303,41,79,0.017505182
304,41,80,0.017505182
305,41,81,0.017505182
306,41,82,0.015024017
307,41,83,0.015024017
308,41,84,0.015024017
309,41,85,0.015024017
310,41,86,0.015024017
311,41,87,0.011072776
312,41,88,0.011072776
313,41,89,0.011072776
314,41,90,0.011072776
315,41,91,0.011072776
316,41,92,0.008256161
317,41,93,0.008256161
318,41,94,0.008256161
319,41,95,0.008256161
320,41,96,0.008256161
321,41,97,0.006472549
322,41,98,0.006472549
323,41,99,0.006472549
324,41,100,0.006472549
325,41,101,0.006472549
326,41,102,0.005092902
327,41,103,0.005092902
328,41,104,0.005092902
329,41,105,0.005092902
330,41,106,0.005092902
331,41,107,0.024516635
332,42,43,1
333,43,44,1
334,44,45,1
335,45,46,1
336,46,47,1
337,47,48,1
338,48,49,1
339,49,50,1
340,50,51,1
341,51,52,1
342,52,53,1
343,53,54,1
344,54,55,1
345,55,56,1
346,56,57,1
347,57,58,1
348,58,59,1
349,59,60,1
350,60,61,1
351,61,62,1
352,62,63,1
353,63,64,1
354,64,65,1
355,65,66,1
356,66,67,1
357,67,68,1
358,68,69,1
359,69,70,1
360,70,71,1
361,71,72,1
362,72,73,1
363,73,74,1
364,74,75,1
365,75,76,1
366,76,77,1
367,77,78,1
368,78,79,1
369,79,80,1
370,80,81,1
371,81,82,1
372,82,83,1
373,83,84,1
374,84,85,1
375,85,86,1
376,86,87,1
377,87,88,1
378,88,89,1
379,89,90,1
380,90,91,1
381,91,92,1
382,92,93,1
383,93,94,1
384,94,95,1
385,95,96,1
386,96,97,1
387,97,98,1
388,98,99,1
389,99,100,1
390,100,101,1
391,101,102,1
392,102,103,1
393,103,104,1
394,104,105,1
395,105,106,1
396,106,107,1
397,107,108,1
398,108,109,1
399,109,110,1
400,110,111,1
401,111,112,1
402,112,113,1
403,113,114,1
404,114,115,1
405,115,116,1
406,116,117,1
407,117,118,1
408,118,119,1
409,119,120,1
410,120,121,1
411,121,122,1
412,122,123,1
413,123,124,1
414,124,125,1
415,125,126,1
416,126,127,1
417,127,128,1
418,128,129,1
419,129,130,1
420,130,131,1
421,131,132,1
422,132,132,1
423,133,133,1
