Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,263,70,142,36,0,15
4,299,66,130,41,2,5
5,283,82,147,46,4,0
6,305,86,146,50,1,10
7,311,77,139,51,3,10
8,319,91,133,47,2,10
9,269,99,117,52,3,15
10,288,94,123,45,4,10
11,270,100,143,47,7,15
12,286,113,134,45,3,30
13,319,116,144,53,2,10
14,281,101,174,51,6,15
15,331,129,141,44,3,25
16,274,126,150,54,3,10
17,317,144,159,53,7,30
18,323,130,158,52,3,20
19,294,136,143,53,9,10
20,303,150,146,48,3,20
21,288,157,168,58,6,5
22,284,126,157,52,7,50
23,307,177,178,54,11,35
24,258,194,165,59,6,55
25,252,162,173,67,7,25
26,298,175,184,61,7,35
27,272,167,149,61,5,25
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,263,70,142,36,0,15
4,297,66,130,41,2,5
5,281,82,147,46,4,0
6,301,86,144,50,1,10
7,309,76,138,51,3,10
8,312,90,132,47,2,10
9,257,99,114,52,3,15
10,283,94,120,45,4,10
11,260,99,141,46,6,15
12,281,111,134,44,2,30
13,313,116,141,53,1,10
14,272,101,173,51,6,10
15,326,128,137,44,3,25
16,268,122,147,55,3,10
17,310,141,160,51,6,25
18,317,129,157,53,3,15
19,291,130,140,53,9,10
20,293,147,145,47,2,15
21,278,155,165,58,6,5
22,276,125,158,51,7,45
23,300,177,175,53,10,35
24,250,193,161,58,6,50
25,249,158,170,67,7,25
26,290,174,184,61,7,35
27,266,161,150,58,5,25
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,263,70,142,36,0,15
4,295,66,130,41,2,5
5,275,82,147,46,3,0
6,293,86,140,50,1,10
7,296,75,133,51,3,10
8,296,90,129,47,2,10
9,242,99,110,52,3,15
10,270,94,117,44,4,10
11,250,98,138,47,6,15
12,269,109,132,44,2,30
13,294,114,139,52,1,10
14,258,97,168,51,4,10
15,310,128,134,44,2,20
16,249,116,144,55,2,10
17,300,137,160,49,6,15
18,305,124,152,53,3,15
19,271,127,138,52,7,10
20,282,141,141,46,1,15
21,260,154,164,56,5,5
22,262,125,150,50,3,35
23,276,167,168,53,7,25
24,228,189,154,58,5,20
25,234,156,168,68,5,20
26,277,168,173,63,6,30
27,248,155,147,55,4,15
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,222,53,168,33,1,15
4,209,53,155,28,2,5
5,230,68,165,40,2,10
6,215,65,178,43,0,10
7,213,53,178,38,1,5
8,243,70,174,36,0,0
9,231,71,175,46,4,5
10,227,73,179,48,2,15
11,236,61,159,43,4,10
12,233,63,155,30,2,20
13,228,74,169,49,4,15
14,234,75,162,56,5,20
15,242,77,170,41,3,15
16,249,94,189,42,2,15
17,238,96,182,45,6,10
18,240,85,194,53,3,30
19,226,95,178,45,5,20
20,244,89,185,48,5,30
21,226,105,194,61,7,20
22,241,94,192,53,7,35
23,248,117,198,50,8,40
24,230,118,186,68,11,15
25,256,103,179,66,9,50
26,245,112,194,54,8,60
27,220,127,198,74,4,50
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,222,53,168,33,1,15
4,209,53,154,28,2,5
5,230,68,165,40,2,10
6,213,65,178,43,0,10
7,211,53,176,38,1,5
8,238,70,173,36,0,0
9,229,71,175,46,4,5
10,224,73,177,48,2,15
11,235,61,158,43,4,10
12,227,61,152,29,1,20
13,226,74,166,49,4,10
14,230,74,161,56,5,20
15,235,78,167,41,3,15
16,246,94,186,42,2,15
17,230,97,178,44,6,10
18,234,86,192,52,3,30
19,219,95,176,43,5,20
20,238,86,182,47,4,30
21,214,105,193,60,4,20
22,239,95,190,52,7,20
23,249,113,197,51,8,35
24,222,117,186,67,9,15
25,251,103,179,65,9,45
26,244,108,192,53,8,55
27,214,129,194,75,4,50
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,222,53,168,33,1,15
4,207,53,154,28,2,5
5,227,68,164,40,2,10
6,211,65,177,43,0,10
7,205,53,172,38,1,5
8,235,70,168,36,0,0
9,225,71,174,46,3,5
10,218,71,170,47,2,15
11,231,61,157,43,3,5
12,222,61,148,29,1,20
13,216,74,166,48,4,10
14,224,74,157,54,5,15
15,227,77,165,41,2,15
16,239,93,179,41,2,15
17,222,97,174,44,5,10
18,227,83,186,52,3,25
19,207,93,167,42,5,15
20,227,85,181,44,4,30
21,208,104,185,60,3,20
22,231,92,189,51,6,15
23,235,114,190,48,6,30
24,219,117,177,68,6,15
25,235,103,173,63,6,35
26,234,106,184,52,8,35
27,205,124,191,73,4,50
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,120,77,111,22,0,10
4,131,58,92,31,4,5
5,168,88,119,32,6,10
