Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,8109,0,0,2,3,Steatosis,0
276,0,0,684,0,0,2,4,NASH,0
277,0,0,73,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1454,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2128,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7459,0,0,2,25,Overweight,0
298,0,0,8460,0,0,2,26,Obese,0
411,0,0,8184,0,0,3,3,Steatosis,0
412,0,0,795,0,0,3,4,NASH,0
413,0,0,78,0,0,3,5,Cirrhosis,0
414,0,0,2,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,272,0,0,3,8,Natural death,0
421,0,0,1493,0,0,3,13,CHD,0
422,0,0,36,0,0,3,14,CHD death,0
427,0,0,2278,0,0,3,19,T2DM,0
428,0,0,70,0,0,3,20,T2DM death,0
433,0,0,7766,0,0,3,25,Overweight,0
434,0,0,8850,0,0,3,26,Obese,0
547,0,0,8264,0,0,4,3,Steatosis,0
548,0,0,940,0,0,4,4,NASH,0
549,0,0,86,0,0,4,5,Cirrhosis,0
550,0,0,3,0,0,4,6,HCC,0
551,0,0,11,0,0,4,7,Liver death,0
552,0,0,521,0,0,4,8,Natural death,0
557,0,0,1512,0,0,4,13,CHD,0
558,0,0,77,0,0,4,14,CHD death,0
563,0,0,2465,0,0,4,19,T2DM,0
564,0,0,136,0,0,4,20,T2DM death,0
569,0,0,7925,0,0,4,25,Overweight,0
570,0,0,9184,0,0,4,26,Obese,0
683,0,0,8350,0,0,5,3,Steatosis,0
684,0,0,1066,0,0,5,4,NASH,0
685,0,0,91,0,0,5,5,Cirrhosis,0
686,0,0,7,0,0,5,6,HCC,0
687,0,0,18,0,0,5,7,Liver death,0
688,0,0,770,0,0,5,8,Natural death,0
693,0,0,1552,0,0,5,13,CHD,0
694,0,0,123,0,0,5,14,CHD death,0
699,0,0,2605,0,0,5,19,T2DM,0
700,0,0,218,0,0,5,20,T2DM death,0
705,0,0,7951,0,0,5,25,Overweight,0
706,0,0,9519,0,0,5,26,Obese,0
819,0,0,8412,0,0,6,3,Steatosis,0
820,0,0,1181,0,0,6,4,NASH,0
821,0,0,102,0,0,6,5,Cirrhosis,0
822,0,0,7,0,0,6,6,HCC,0
823,0,0,27,0,0,6,7,Liver death,0
824,0,0,999,0,0,6,8,Natural death,0
829,0,0,1589,0,0,6,13,CHD,0
830,0,0,173,0,0,6,14,CHD death,0
835,0,0,2773,0,0,6,19,T2DM,0
836,0,0,304,0,0,6,20,T2DM death,0
841,0,0,7929,0,0,6,25,Overweight,0
842,0,0,9758,0,0,6,26,Obese,0
955,0,0,8511,954740.9954,0,7,3,Steatosis,0
956,0,105.1849738,1273,306384.5043,105.1849738,7,4,NASH,0
957,0,20.85062367,107,170755.5507,20.85062367,7,5,Cirrhosis,0
958,0,1.817653714,7,108297.4093,1.817653714,7,6,HCC,0
959,189.6560607,0,39,0,189.6560607,7,7,Liver death,0
960,0,0,1224,0,0,7,8,Natural death,0
965,0,97.21758201,1614,2.34E+07,97.21758201,7,13,CHD,0
966,387.8751279,0,224,0,387.8751279,7,14,CHD death,0
971,0,87.78449273,2960,1.31E+07,87.78449273,7,19,T2DM,0
972,866.9506069,0,381,0,866.9506069,7,20,T2DM death,0
977,0,0,7905,1.85E+06,0,7,25,Overweight,0
978,0,63.44521089,9991,7.57E+06,63.44521089,7,26,Obese,0
1091,0,0,8561,932378.5052,0,8,3,Steatosis,0
1092,0,112.8709479,1407,328772.3347,112.8709479,8,4,NASH,0
1093,0,21.94603344,116,179726.3758,21.94603344,8,5,Cirrhosis,0
1094,0,1.764712343,7,105143.1158,1.764712343,8,6,HCC,0
1095,160.9302927,0,49,0,160.9302927,8,7,Liver death,0
1096,0,0,1439,0,0,8,8,Natural death,0
1101,0,95.4971135,1633,2.30E+07,95.4971135,8,13,CHD,0
1102,335.3854562,0,271,0,335.3854562,8,14,CHD death,0
1107,0,90.23766735,3134,1.35E+07,90.23766735,8,19,T2DM,0
1108,891.2369059,0,472,0,891.2369059,8,20,T2DM death,0
1113,0,0,7790,1.77E+06,0,8,25,Overweight,0
1114,0,63.21876023,10254,7.54E+06,63.21876023,8,26,Obese,0
1227,0,0,8588,908076.772,0,9,3,Steatosis,0
1228,0,116.670931,1498,339840.9875,116.670931,9,4,NASH,0
1229,0,23.87834238,130,195550.9613,23.87834238,9,5,Cirrhosis,0
1230,0,1.713312955,7,102080.6949,1.713312955,9,6,HCC,0
1231,205.7969612,0,62,0,205.7969612,9,7,Liver death,0
1232,0,0,1668,0,0,9,8,Natural death,0
1237,0,92.43176284,1628,2.22E+07,92.43176284,9,13,CHD,0
1238,372.7886815,0,323,0,372.7886815,9,14,CHD death,0
1243,0,90.60051669,3241,1.35E+07,90.60051669,9,19,T2DM,0
1244,1048.373752,0,571,0,1048.373752,9,20,T2DM death,0
1249,0,0,7661,1.69E+06,0,9,25,Overweight,0
1250,0,62.99357794,10524,7.52E+06,62.99357794,9,26,Obese,0
1363,0,0,8623,885220.9682,0,10,3,Steatosis,0
1364,0,120.5318833,1594,351087.2322,120.5318833,10,4,NASH,0
1365,0,24.60949401,138,201538.7054,24.60949401,10,5,Cirrhosis,0
1366,0,2.138670817,9,127423.8911,2.138670817,10,6,HCC,0
1367,258.0916351,0,78,0,258.0916351,10,7,Liver death,0
1368,0,0,1888,0,0,10,8,Natural death,0
1373,0,89.57420781,1625,2.15E+07,89.57420781,10,13,CHD,0
1374,312.7151378,0,368,0,312.7151378,10,14,CHD death,0
1379,0,91.67988586,3378,1.37E+07,91.67988586,10,19,T2DM,0
1380,943.0584897,0,665,0,943.0584897,10,20,T2DM death,0
1385,0,0,7605,1.63E+06,0,10,25,Overweight,0
1386,0,62.10606616,10687,7.41E+06,62.10606616,10,26,Obese,0
1499,0,0,8653,862427.8755,0,11,3,Steatosis,0
1500,0,124.9499126,1702,363956.1396,124.9499126,11,4,NASH,0
1501,0,26.48974661,153,216936.9771,26.48974661,11,5,Cirrhosis,0
1502,0,2.999214738,13,178695.8558,2.999214738,11,6,HCC,0
1503,182.6853272,0,92,0,182.6853272,11,7,Liver death,0
1504,0,0,2091,0,0,11,8,Natural death,0
1509,0,87.98207476,1644,2.11E+07,87.98207476,11,13,CHD,0
1510,279.8778318,0,415,0,279.8778318,11,14,CHD death,0
1515,0,92.06617381,3494,1.37E+07,92.06617381,11,19,T2DM,0
1516,999.9621891,0,765,0,999.9621891,11,20,T2DM death,0
1521,0,0,7527,1.57E+06,0,11,25,Overweight,0
1522,0,61.47635108,10896,7.34E+06,61.47635108,11,26,Obese,0
1635,0,0,8687,840598.6312,0,12,3,Steatosis,0
1636,0,127.3689969,1787,371002.4879,127.3689969,12,4,NASH,0
1637,0,27.73531437,165,227137.5165,27.73531437,12,5,Cirrhosis,0
1638,0,2.463880666,11,146800.1803,2.463880666,12,6,HCC,0
1639,305.6965219,0,113,0,305.6965219,12,7,Liver death,0
1640,0,0,2277,0,0,12,8,Natural death,0
1645,0,86.09494832,1657,2.07E+07,86.09494832,12,13,CHD,0
1646,306.7550632,0,460,0,306.7550632,12,14,CHD death,0
1651,0,92.24985489,3606,1.38E+07,92.24985489,12,19,T2DM,0
1652,1051.047958,0,878,0,1051.047958,12,20,T2DM death,0
1657,0,0,7465,1.51E+06,0,12,25,Overweight,0
1658,0,60.55674311,11055,7.23E+06,60.55674311,12,26,Obese,0
1771,0,0,8664,813954.4013,0,13,3,Steatosis,0
1772,0,132.8627325,1920,387004.7304,132.8627325,13,4,NASH,0
1773,0,28.23306494,173,231213.8297,28.23306494,13,5,Cirrhosis,0
1774,0,2.392117152,11,142524.4469,2.392117152,13,6,HCC,0
1775,178.6953024,0,125,0,178.6953024,13,7,Liver death,0
1776,0,0,2464,0,0,13,8,Natural death,0
1781,0,84.29355815,1671,2.03E+07,84.29355815,13,13,CHD,0
1782,337.3811698,0,513,0,337.3811698,13,14,CHD death,0
1787,0,93.01533758,3745,1.39E+07,93.01533758,13,19,T2DM,0
1788,1068.309681,0,994,0,1068.309681,13,20,T2DM death,0
1793,0,0,7383,1.45E+06,0,13,25,Overweight,0
1794,0,59.62259725,11211,7.11E+06,59.62259725,13,26,Obese,0
1907,0,0,8709,794351.46,0,14,3,Steatosis,0
1908,0,135.4425914,2016,394519.3854,135.4425914,14,4,NASH,0
1909,0,29.62895304,187,242645.4131,29.62895304,14,5,Cirrhosis,0
1910,0,2.744706352,13,163532.022,2.744706352,14,6,HCC,0
1911,234.1855429,0,145,0,234.1855429,14,7,Liver death,0
1912,0,0,2651,0,0,14,8,Natural death,0
1917,0,84.28719131,1721,2.03E+07,84.28719131,14,13,CHD,0
1918,240.9448401,0,564,0,240.9448401,14,14,CHD death,0
1923,0,93.05512534,3859,1.39E+07,93.05512534,14,19,T2DM,0
1924,871.0533233,0,1095,0,871.0533233,14,20,T2DM death,0
1929,0,0,7316,1.39E+06,0,14,25,Overweight,0
1930,0,58.70698515,11370,7.01E+06,58.70698515,14,26,Obese,0
2043,0,0,8717,771923.4401,0,15,3,Steatosis,0
2044,0,137.2376388,2104,399748.0288,137.2376388,15,4,NASH,0
2045,0,30.45808994,198,249435.6045,30.45808994,15,5,Cirrhosis,0
2046,0,2.254799841,11,134342.9606,2.254799841,15,6,HCC,0
2047,213.5718093,0,163,0,213.5718093,15,7,Liver death,0
2048,0,0,2845,0,0,15,8,Natural death,0
2053,0,82.87830763,1743,1.99E+07,82.87830763,15,13,CHD,0
2054,261.0453876,0,608,0,261.0453876,15,14,CHD death,0
2059,0,93.92673359,4012,1.40E+07,93.92673359,15,19,T2DM,0
2060,1049.491033,0,1224,0,1049.491033,15,20,T2DM death,0
2065,0,0,7288,1.35E+06,0,15,25,Overweight,0
2066,0,57.56854757,11484,6.87E+06,57.56854757,15,26,Obese,0
2179,0,0,8717,749440.2331,0,16,3,Steatosis,0
2180,0,138.1799475,2182,402492.801,138.1799475,16,4,NASH,0
2181,0,31.06444399,208,254401.3226,31.06444399,16,5,Cirrhosis,0
2182,0,2.38813752,12,142287.3369,2.38813752,16,6,HCC,0
2183,216.8549741,0,180,0,216.8549741,16,7,Liver death,0
2184,0,0,3031,0,0,16,8,Natural death,0
2189,0,81.15684085,1758,1.95E+07,81.15684085,16,13,CHD,0
2190,272.4578123,0,662,0,272.4578123,16,14,CHD death,0
2195,0,93.28212321,4104,1.39E+07,93.28212321,16,19,T2DM,0
2196,1103.210891,0,1350,0,1103.210891,16,20,T2DM death,0
2201,0,0,7211,1.29E+06,0,16,25,Overweight,0
2202,0,56.34928493,11578,6.72E+06,56.34928493,16,26,Obese,0
2315,0,0,8727,728446.5813,0,17,3,Steatosis,0
2316,0,137.7827692,2241,401335.8934,137.7827692,17,4,NASH,0
2317,0,31.31964106,216,256491.2514,31.31964106,17,5,Cirrhosis,0
2318,0,2.705010136,14,161166.8865,2.705010136,17,6,HCC,0
2319,389.2657035,0,210,0,389.2657035,17,7,Liver death,0
2320,0,0,3211,0,0,17,8,Natural death,0
2325,0,79.4205253,1772,1.91E+07,79.4205253,17,13,CHD,0
2326,306.610822,0,715,0,306.610822,17,14,CHD death,0
2331,0,93.10293481,4219,1.39E+07,93.10293481,17,19,T2DM,0
2332,1138.723089,0,1494,0,1138.723089,17,20,T2DM death,0
2337,0,0,7197,1.25E+06,0,17,25,Overweight,0
2338,0,54.98682878,11637,6.56E+06,54.98682878,17,26,Obese,0
2451,0,0,8745,708688.3974,0,18,3,Steatosis,0
2452,0,136.5155089,2287,397644.597,136.5155089,18,4,NASH,0
2453,0,33.22292022,236,272078.0983,33.22292022,18,5,Cirrhosis,0
2454,0,2.251048656,12,134119.4617,2.251048656,18,6,HCC,0
2455,230.1020942,0,229,0,230.1020942,18,7,Liver death,0
2456,0,0,3422,0,0,18,8,Natural death,0
2461,0,77.80353462,1788,1.87E+07,77.80353462,18,13,CHD,0
2462,218.7468007,0,767,0,218.7468007,18,14,CHD death,0
2467,0,93.06929789,4344,1.39E+07,93.06929789,18,19,T2DM,0
2468,991.4519687,0,1624,0,991.4519687,18,20,T2DM death,0
2473,0,0,7130,1.21E+06,0,18,25,Overweight,0
2474,0,53.67887359,11701,6.41E+06,53.67887359,18,26,Obese,0
2587,0,0,8741,687732.2721,0,19,3,Steatosis,0
2588,0,134.9733701,2329,393152.6299,134.9733701,19,4,NASH,0
2589,0,35.26210884,258,288777.9717,35.26210884,19,5,Cirrhosis,0
2590,0,3.460349876,19,206170.6935,3.460349876,19,6,HCC,0
2591,175.8858823,0,245,0,175.8858823,19,7,Liver death,0
2592,0,0,3626,0,0,19,8,Natural death,0
2597,0,76.42459662,1809,1.84E+07,76.42459662,19,13,CHD,0
2598,242.2643821,0,820,0,242.2643821,19,14,CHD death,0
2603,0,92.1474078,4430,1.37E+07,92.1474078,19,19,T2DM,0
2604,1009.756209,0,1760,0,1009.756209,19,20,T2DM death,0
2609,0,0,7058,1.16E+06,0,19,25,Overweight,0
2610,0,52.61870511,11814,6.28E+06,52.61870511,19,26,Obese,0
2723,0,0,8703,664798.5183,0,20,3,Steatosis,0
2724,0,134.2492344,2386,391043.3558,134.2492344,20,4,NASH,0
2725,0,36.35816145,274,297754.0613,36.35816145,20,5,Cirrhosis,0
2726,0,2.829105673,16,168560.6079,2.829105673,20,6,HCC,0
2727,269.6745504,0,268,0,269.6745504,20,7,Liver death,0
2728,0,0,3830,0,0,20,8,Natural death,0
2733,0,74.28067027,1811,1.79E+07,74.28067027,20,13,CHD,0
2734,210.6913394,0,868,0,210.6913394,20,14,CHD death,0
2739,0,91.05890152,4509,1.36E+07,91.05890152,20,19,T2DM,0
2740,1070.248684,0,1910,0,1070.248684,20,20,T2DM death,0
2745,0,0,7079,1.13E+06,0,20,25,Overweight,0
2746,0,51.01261004,11797,6.09E+06,51.01261004,20,26,Obese,0
2859,0,0,8696,644916.3178,0,21,3,Steatosis,0
2860,0,132.6880063,2429,386495.7849,132.6880063,21,4,NASH,0
2861,0,36.71630647,285,300687.0792,36.71630647,21,5,Cirrhosis,0
2862,0,3.605049705,21,214792.0368,3.605049705,21,6,HCC,0
2863,174.7051651,0,283,0,174.7051651,21,7,Liver death,0
2864,0,0,4000,0,0,21,8,Natural death,0
2869,0,73.59055966,1848,1.77E+07,73.59055966,21,13,CHD,0
2870,263.4145386,0,926,0,263.4145386,21,14,CHD death,0
2875,0,89.28900291,4554,1.33E+07,89.28900291,21,19,T2DM,0
2876,1087.693472,0,2067,0,1087.693472,21,20,T2DM death,0
2881,0,0,7017,1.09E+06,0,21,25,Overweight,0
2882,0,49.97601907,11904,5.96E+06,49.97601907,21,26,Obese,0
2995,0,0,8684,625268.3193,0,22,3,Steatosis,0
2996,0,132.7479364,2503,386670.3505,132.7479364,22,4,NASH,0
2997,0,37.52305209,300,307293.898,37.52305209,22,5,Cirrhosis,0
2998,0,3.000041363,18,178745.1069,3.000041363,22,6,HCC,0
2999,269.9863037,0,310,0,269.9863037,22,7,Liver death,0
3000,0,0,4194,0,0,22,8,Natural death,0
3005,0,71.7564403,1856,1.72E+07,71.7564403,22,13,CHD,0
3006,192.638978,0,978,0,192.638978,22,14,CHD death,0
3011,0,88.40156088,4644,1.32E+07,88.40156088,22,19,T2DM,0
3012,927.0299582,0,2193,0,927.0299582,22,20,T2DM death,0
3017,0,0,7014,1.05E+06,0,22,25,Overweight,0
3018,0,48.64676209,11935,5.81E+06,48.64676209,22,26,Obese,0
3131,0,0,8646,604400.2237,0,23,3,Steatosis,0
3132,0,130.4262159,2533,379907.6051,130.4262159,23,4,NASH,0
3133,0,37.40161827,308,306299.4193,37.40161827,23,5,Cirrhosis,0
3134,0,3.398105104,21,202462.0952,3.398105104,23,6,HCC,0
3135,245.9917768,0,337,0,245.9917768,23,7,Liver death,0
3136,0,0,4366,0,0,23,8,Natural death,0
3141,0,70.34209132,1874,1.69E+07,70.34209132,23,13,CHD,0
3142,195.3932395,0,1032,0,195.3932395,23,14,CHD death,0
3147,0,86.99107462,4707,1.30E+07,86.99107462,23,19,T2DM,0
3148,1046.592142,0,2370,0,1046.592142,23,20,T2DM death,0
3153,0,0,6978,1.02E+06,0,23,25,Overweight,0
