Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,8109,0,0,2,3,Steatosis,0
276,0,0,684,0,0,2,4,NASH,0
277,0,0,73,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1454,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2128,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7459,0,0,2,25,Overweight,0
298,0,0,8460,0,0,2,26,Obese,0
411,0,0,8184,0,0,3,3,Steatosis,0
412,0,0,795,0,0,3,4,NASH,0
413,0,0,78,0,0,3,5,Cirrhosis,0
414,0,0,2,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,272,0,0,3,8,Natural death,0
421,0,0,1493,0,0,3,13,CHD,0
422,0,0,36,0,0,3,14,CHD death,0
427,0,0,2278,0,0,3,19,T2DM,0
428,0,0,70,0,0,3,20,T2DM death,0
433,0,0,7766,0,0,3,25,Overweight,0
434,0,0,8850,0,0,3,26,Obese,0
547,0,0,8264,0,0,4,3,Steatosis,0
548,0,0,940,0,0,4,4,NASH,0
549,0,0,86,0,0,4,5,Cirrhosis,0
550,0,0,3,0,0,4,6,HCC,0
551,0,0,11,0,0,4,7,Liver death,0
552,0,0,521,0,0,4,8,Natural death,0
557,0,0,1512,0,0,4,13,CHD,0
558,0,0,77,0,0,4,14,CHD death,0
563,0,0,2465,0,0,4,19,T2DM,0
564,0,0,136,0,0,4,20,T2DM death,0
569,0,0,7925,0,0,4,25,Overweight,0
570,0,0,9184,0,0,4,26,Obese,0
683,0,0,8350,0,0,5,3,Steatosis,0
684,0,0,1066,0,0,5,4,NASH,0
685,0,0,91,0,0,5,5,Cirrhosis,0
686,0,0,7,0,0,5,6,HCC,0
687,0,0,18,0,0,5,7,Liver death,0
688,0,0,770,0,0,5,8,Natural death,0
693,0,0,1552,0,0,5,13,CHD,0
694,0,0,123,0,0,5,14,CHD death,0
699,0,0,2605,0,0,5,19,T2DM,0
700,0,0,218,0,0,5,20,T2DM death,0
705,0,0,7951,0,0,5,25,Overweight,0
706,0,0,9519,0,0,5,26,Obese,0
819,0,0,8412,0,0,6,3,Steatosis,0
820,0,0,1181,0,0,6,4,NASH,0
821,0,0,102,0,0,6,5,Cirrhosis,0
822,0,0,7,0,0,6,6,HCC,0
823,0,0,27,0,0,6,7,Liver death,0
824,0,0,999,0,0,6,8,Natural death,0
829,0,0,1589,0,0,6,13,CHD,0
830,0,0,173,0,0,6,14,CHD death,0
835,0,0,2773,0,0,6,19,T2DM,0
836,0,0,304,0,0,6,20,T2DM death,0
841,0,0,7929,0,0,6,25,Overweight,0
842,0,0,9758,0,0,6,26,Obese,0
955,0,0,8511,954740.9953598622,0,7,3,Steatosis,0
956,0,105.18497383205612,1273,306384.5043179155,105.18497383205612,7,4,NASH,0
957,0,20.850623668551606,107,170755.55065937003,20.850623668551606,7,5,Cirrhosis,0
958,0,1.8176537137074582,7,108297.40926616522,1.8176537137074582,7,6,HCC,0
959,189.65606067299998,0,39,0,189.65606067299998,7,7,Liver death,0
960,0,0,1224,0,0,7,8,Natural death,0
965,0,97.2175820139103,1614,2.3365192610795323e+07,97.2175820139103,7,13,CHD,0
966,387.87512787500015,0,224,0,387.87512787500015,7,14,CHD death,0
971,0,87.78449272739577,2960,1.3094538007171176e+07,87.78449272739577,7,19,T2DM,0
972,866.9506069319997,0,381,0,866.9506069319997,7,20,T2DM death,0
977,0,0,7905,1.8505091768253502e+06,0,7,25,Overweight,0
978,0,63.445210888928806,9991,7.57091473124344e+06,63.445210888928806,7,26,Obese,0
1091,0,0,8561,932378.5051755898,0,8,3,Steatosis,0
1092,0,112.87094790358626,1407,328772.33473051194,112.87094790358626,8,4,NASH,0
1093,0,21.946033441175846,116,179726.37579608886,21.946033441175846,8,5,Cirrhosis,0
1094,0,1.7647123434052996,7,105143.11579239344,1.7647123434052996,8,6,HCC,0
1095,160.93029266990288,0,49,0,160.93029266990288,8,7,Liver death,0
1096,0,0,1439,0,0,8,8,Natural death,0
1101,0,95.49711350243864,1633,2.295169664310346e+07,95.49711350243864,8,13,CHD,0
1102,335.3854561854369,0,271,0,335.3854561854369,8,14,CHD death,0
1107,0,90.23766734705262,3134,1.3460470386537557e+07,90.23766734705262,8,19,T2DM,0
1108,891.236905908738,0,472,0,891.236905908738,8,20,T2DM death,0
1113,0,0,7790,1.77047419753597e+06,0,8,25,Overweight,0
1114,0,63.21876022933646,10254,7.5438923821884e+06,63.21876022933646,8,26,Obese,0
1227,0,0,8588,908076.7720003369,0,9,3,Steatosis,0
1228,0,116.67093103108941,1498,339840.98745269194,116.67093103108941,9,4,NASH,0
1229,0,23.878342378246263,130,195550.96127796682,23.878342378246263,9,5,Cirrhosis,0
1230,0,1.7133129547624264,7,102080.69494407128,1.7133129547624264,9,6,HCC,0
1231,205.79696121689133,0,62,0,205.79696121689133,9,7,Liver death,0
1232,0,0,1668,0,0,9,8,Natural death,0
1237,0,92.43176284161014,1628,2.221497282086828e+07,92.43176284161014,9,13,CHD,0
1238,372.788681542087,0,323,0,372.788681542087,9,14,CHD death,0
1243,0,90.60051668570362,3241,1.3514595486634303e+07,90.60051668570362,9,19,T2DM,0
1244,1048.3737524177582,0,571,0,1048.3737524177582,9,20,T2DM death,0
1249,0,0,7661,1.690442417753064e+06,0,9,25,Overweight,0
1250,0,62.99357794105015,10524,7.517021387829955e+06,62.99357794105015,9,26,Obese,0
1363,0,0,8623,885220.9681787917,0,10,3,Steatosis,0
1364,0,120.53188332894841,1594,351087.2321668908,120.53188332894841,10,4,NASH,0
1365,0,24.609494011934117,138,201538.705424642,24.609494011934117,10,5,Cirrhosis,0
1366,0,2.1386708173178697,9,127423.89105362573,2.1386708173178697,10,6,HCC,0
1367,258.09163507628165,0,78,0,258.09163507628165,10,7,Liver death,0
1368,0,0,1888,0,0,10,8,Natural death,0
1373,0,89.57420780612692,1625,2.1528190425986838e+07,89.57420780612692,10,13,CHD,0
1374,312.7151378441275,0,368,0,312.7151378441275,10,14,CHD death,0
1379,0,91.6798858569593,3378,1.3675601607393557e+07,91.6798858569593,10,19,T2DM,0
1380,943.0584897426347,0,665,0,943.0584897426347,10,20,T2DM death,0
1385,0,0,7605,1.6292094224578028e+06,0,10,25,Overweight,0
1386,0,62.106066158173725,10687,7.411114638732595e+06,62.106066158173725,10,26,Obese,0
1499,0,0,8653,862427.8755114018,0,11,3,Steatosis,0
1500,0,124.9499125518385,1702,363956.1396182495,124.9499125518385,11,4,NASH,0
1501,0,26.489746614787567,153,216936.97713500806,26.489746614787567,11,5,Cirrhosis,0
1502,0,2.999214738417725,13,178695.85584650858,2.999214738417725,11,6,HCC,0
1503,182.68532719348505,0,92,0,182.68532719348505,11,7,Liver death,0
1504,0,0,2091,0,0,11,8,Natural death,0
1509,0,87.98207476222365,1644,2.1145538497578617e+07,87.98207476222365,11,13,CHD,0
1510,279.8778318074649,0,415,0,279.8778318074649,11,14,CHD death,0
1515,0,92.06617381003966,3494,1.3733222972240295e+07,92.06617381003966,11,19,T2DM,0
1516,999.9621891124965,0,765,0,999.9621891124965,11,20,T2DM death,0
1521,0,0,7527,1.5655335749777576e+06,0,11,25,Overweight,0
1522,0,61.4763510752509,10896,7.335970760558606e+06,61.4763510752509,11,26,Obese,0
1635,0,0,8687,840598.631213355,0,12,3,Steatosis,0
1636,0,127.36899691404761,1787,371002.4879341505,127.36899691404761,12,4,NASH,0
1637,0,27.735314369185662,165,227137.51651295365,27.735314369185662,12,5,Cirrhosis,0
1638,0,2.4638806663625816,11,146800.18030706453,2.4638806663625816,12,6,HCC,0
1639,305.696521937651,0,113,0,305.696521937651,12,7,Liver death,0
1640,0,0,2277,0,0,12,8,Natural death,0
1645,0,86.09494831514367,1657,2.069198810058727e+07,86.09494831514367,12,13,CHD,0
1646,306.7550632224123,0,460,0,306.7550632224123,12,14,CHD death,0
1651,0,92.24985488549781,3606,1.376062210332786e+07,92.24985488549781,12,19,T2DM,0
1652,1051.0479581739403,0,878,0,1051.0479581739403,12,20,T2DM death,0
1657,0,0,7465,1.507415780498913e+06,0,12,25,Overweight,0
1658,0,60.55674311201102,11055,7.226233975410113e+06,60.55674311201102,12,26,Obese,0
1771,0,0,8664,813954.401324328,0,13,3,Steatosis,0
1772,0,132.86273250441974,1920,387004.73040651757,132.86273250441974,13,4,NASH,0
1773,0,28.233064935976063,173,231213.82969544534,28.233064935976063,13,5,Cirrhosis,0
1774,0,2.3921171518083315,11,142524.44690006267,2.3921171518083315,13,6,HCC,0
1775,178.6953024103311,0,125,0,178.6953024103311,13,7,Liver death,0
1776,0,0,2464,0,0,13,8,Natural death,0
1781,0,84.2935581525888,1671,2.0259043490740538e+07,84.2935581525888,13,13,CHD,0
1782,337.38116983238507,0,513,0,337.38116983238507,13,14,CHD death,0
1787,0,93.01533758357476,3745,1.3874806761374887e+07,93.01533758357476,13,19,T2DM,0
1788,1068.3096814822127,0,994,0,1068.3096814822127,13,20,T2DM death,0
1793,0,0,7383,1.447434397079539e+06,0,13,25,Overweight,0
1794,0,59.62259725455193,11211,7.114762383874442e+06,59.62259725455193,13,26,Obese,0
1907,0,0,8709,794351.4600234464,0,14,3,Steatosis,0
1908,0,135.4425913880022,2016,394519.38536587113,135.4425913880022,14,4,NASH,0
1909,0,29.628953044657475,187,242645.41305936684,29.628953044657475,14,5,Cirrhosis,0
1910,0,2.7447063524720483,13,163532.02203890687,2.7447063524720483,14,6,HCC,0
1911,234.18554288858036,0,145,0,234.18554288858036,14,7,Liver death,0
1912,0,0,2651,0,0,14,8,Natural death,0
1917,0,84.28719131071041,1721,2.025751328927196e+07,84.28719131071041,14,13,CHD,0
1918,240.9448400601876,0,564,0,240.9448400601876,14,14,CHD death,0
1923,0,93.05512534124817,3859,1.3880741776646249e+07,93.05512534124817,14,19,T2DM,0
1924,871.0533232681677,0,1095,0,871.0533232681677,14,20,T2DM death,0
1929,0,0,7316,1.392523370933712e+06,0,14,25,Overweight,0
1930,0,58.70698514586784,11370,7.005502423907026e+06,58.70698514586784,14,26,Obese,0
2043,0,0,8717,771923.4400999879,0,15,3,Steatosis,0
2044,0,137.23763883127376,2104,399748.02878420736,137.23763883127376,15,4,NASH,0
2045,0,30.458089937397535,198,249435.6045156256,30.458089937397535,15,5,Cirrhosis,0
2046,0,2.254799841463221,11,134342.96059955005,2.254799841463221,15,6,HCC,0
2047,213.57180925416577,0,163,0,213.57180925416577,15,7,Liver death,0
2048,0,0,2845,0,0,15,8,Natural death,0
2053,0,82.87830763022859,1743,1.9918903360092748e+07,82.87830763022859,15,13,CHD,0
2054,261.04538762059263,0,608,0,261.04538762059263,15,14,CHD death,0
2059,0,93.92673358938671,4012,1.4010756850811675e+07,93.92673358938671,15,19,T2DM,0
2060,1049.491033322092,0,1224,0,1049.491033322092,15,20,T2DM death,0
2065,0,0,7288,1.3467901616575844e+06,0,15,25,Overweight,0
2066,0,57.56854756727694,11484,6.86965270863724e+06,57.56854756727694,15,26,Obese,0
2179,0,0,8717,749440.2331066041,0,16,3,Steatosis,0
2180,0,138.17994754782202,2182,402492.8009557066,138.17994754782202,16,4,NASH,0
2181,0,31.064443988323678,208,254401.32264023754,31.064443988323678,16,5,Cirrhosis,0
2182,0,2.388137519643306,12,142287.33691037956,2.388137519643306,16,6,HCC,0
2183,216.85497405886994,0,180,0,216.85497405886994,16,7,Liver death,0
2184,0,0,3031,0,0,16,8,Natural death,0
2189,0,81.15684085242033,1758,1.9505167469903246e+07,81.15684085242033,16,13,CHD,0
2190,272.45781228787405,0,662,0,272.45781228787405,16,14,CHD death,0
2195,0,93.28212320582207,4104,1.391460233758501e+07,93.28212320582207,16,19,T2DM,0
2196,1103.2108911148346,0,1350,0,1103.2108911148346,16,20,T2DM death,0
2201,0,0,7211,1.2937484488015806e+06,0,16,25,Overweight,0
2202,0,56.34928492609411,11578,6.724158141561451e+06,56.34928492609411,16,26,Obese,0
2315,0,0,8727,728446.5812615285,0,17,3,Steatosis,0
2316,0,137.78276919486186,2241,401335.89338261244,137.78276919486186,17,4,NASH,0
2317,0,31.319641063657112,216,256491.2513549806,31.319641063657112,17,5,Cirrhosis,0
2318,0,2.705010135518307,14,161166.8864680675,2.705010135518307,17,6,HCC,0
2319,389.2657034608886,0,210,0,389.2657034608886,17,7,Liver death,0
2320,0,0,3211,0,0,17,8,Natural death,0
2325,0,79.42052530484303,1772,1.908786283876695e+07,79.42052530484303,17,13,CHD,0
2326,306.6108219955613,0,715,0,306.6108219955613,17,14,CHD death,0
2331,0,93.10293481267486,4219,1.3887873365852173e+07,93.10293481267486,17,19,T2DM,0
2332,1138.7230885874483,0,1494,0,1138.7230885874483,17,20,T2DM death,0
2337,0,0,7197,1.2536278293849402e+06,0,17,25,Overweight,0
2338,0,54.98682877676724,11637,6.5615762983136065e+06,54.98682877676724,17,26,Obese,0
2451,0,0,8745,708688.3973665038,0,18,3,Steatosis,0
2452,0,136.51550891750077,2287,397644.59701420553,136.51550891750077,18,4,NASH,0
2453,0,33.222920222146264,236,272078.09834490885,33.222920222146264,18,5,Cirrhosis,0
2454,0,2.251048656464611,12,134119.4616932601,2.251048656464611,18,6,HCC,0
2455,230.10209422870395,0,229,0,230.10209422870395,18,7,Liver death,0
2456,0,0,3422,0,0,18,8,Natural death,0
2461,0,77.80353461891522,1788,1.869923664539923e+07,77.80353461891522,18,13,CHD,0
2462,218.74680072416507,0,767,0,218.74680072416507,18,14,CHD death,0
2467,0,93.06929788872016,4344,1.388285585119181e+07,93.06929788872016,18,19,T2DM,0
2468,991.4519686891833,0,1624,0,991.4519686891833,18,20,T2DM death,0
2473,0,0,7130,1.2057837507151284e+06,0,18,25,Overweight,0
2474,0,53.67887358926982,11701,6.405498052878171e+06,53.67887358926982,18,26,Obese,0
2587,0,0,8741,687732.2721311589,0,19,3,Steatosis,0
2588,0,134.9733700692665,2329,393152.62986913667,134.9733700692665,19,4,NASH,0
2589,0,35.26210884200151,258,288777.9717499872,35.26210884200151,19,5,Cirrhosis,0
2590,0,3.4603498764423617,19,206170.6935414192,3.4603498764423617,19,6,HCC,0
2591,175.88588229454984,0,245,0,175.88588229454984,19,7,Liver death,0
2592,0,0,3626,0,0,19,8,Natural death,0
2597,0,76.42459662345654,1809,1.8367823837192256e+07,76.42459662345654,19,13,CHD,0
2598,242.2643820739524,0,820,0,242.2643820739524,19,14,CHD death,0
2603,0,92.14740779538299,4430,1.3745340391565181e+07,92.14740779538299,19,19,T2DM,0
2604,1009.7562094991887,0,1760,0,1009.7562094991887,19,20,T2DM death,0
2609,0,0,7058,1.1588422653558e+06,0,19,25,Overweight,0
2610,0,52.618705113036945,11814,6.278988186777127e+06,52.618705113036945,19,26,Obese,0
2723,0,0,8703,664798.5183492817,0,20,3,Steatosis,0
2724,0,134.24923442506994,2386,391043.3557749031,134.24923442506994,20,4,NASH,0
2725,0,36.35816144618198,274,297754.06133625517,36.35816144618198,20,5,Cirrhosis,0
2726,0,2.8291056731261013,16,168560.6079030509,2.8291056731261013,20,6,HCC,0
2727,269.67455038822425,0,268,0,269.67455038822425,20,7,Liver death,0
2728,0,0,3830,0,0,20,8,Natural death,0
2733,0,74.28067026522095,1811,1.7852554363647595e+07,74.28067026522095,20,13,CHD,0
2734,210.69133938762988,0,868,0,210.69133938762988,20,14,CHD death,0
2739,0,91.05890152082233,4509,1.3582971317706855e+07,91.05890152082233,20,19,T2DM,0
2740,1070.2486838793566,0,1910,0,1070.2486838793566,20,20,T2DM death,0
2745,0,0,7079,1.1284371100553481e+06,0,20,25,Overweight,0
2746,0,51.0126100363441,11797,6.087332919100216e+06,51.0126100363441,20,26,Obese,0
2859,0,0,8696,644916.3178376628,0,21,3,Steatosis,0
2860,0,132.68800625756884,2429,386495.78494993306,132.68800625756884,21,4,NASH,0
2861,0,36.71630647070335,285,300687.07916105416,36.71630647070335,21,5,Cirrhosis,0
2862,0,3.6050497048330166,21,214792.03676966453,3.6050497048330166,21,6,HCC,0
2863,174.70516513545195,0,283,0,174.70516513545195,21,7,Liver death,0
2864,0,0,4000,0,0,21,8,Natural death,0
2869,0,73.59055965975506,1848,1.76866937560759e+07,73.59055965975506,21,13,CHD,0
