Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,229,68,157,36,1,10
4,228,69,138,35,0,5
5,208,67,130,33,0,5
6,238,66,144,48,2,5
7,230,69,143,51,0,5
8,272,64,148,48,1,10
9,242,68,135,44,3,5
10,247,103,142,46,3,0
11,247,88,147,47,3,0
12,265,100,167,45,2,15
13,250,90,161,40,4,20
14,249,97,157,40,8,15
15,268,87,173,56,5,30
16,257,111,171,55,6,35
17,270,128,137,33,7,25
18,295,130,138,51,8,30
19,278,129,174,41,8,45
20,285,115,129,43,7,25
21,290,144,185,49,8,50
22,253,137,173,48,11,25
23,284,126,155,58,6,60
24,241,139,153,45,9,40
25,265,181,143,53,12,60
26,268,142,186,55,18,30
27,255,125,178,39,8,65
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,229,68,157,36,1,10
4,227,69,138,35,0,5
5,205,67,130,33,0,5
6,234,66,142,48,2,5
7,223,69,142,51,0,5
8,270,64,144,48,1,10
9,235,68,131,44,3,5
10,242,103,142,46,2,0
11,237,87,146,46,3,0
12,263,100,163,45,2,15
13,244,90,156,40,4,15
14,243,97,154,39,8,15
15,259,86,170,56,6,30
16,249,109,170,54,6,35
17,262,126,133,33,7,25
18,287,126,136,51,7,35
19,268,125,170,41,8,45
20,282,114,131,40,7,20
21,286,140,184,49,8,50
22,249,134,170,49,10,25
23,277,126,150,57,4,55
24,233,138,150,45,8,35
25,255,178,140,54,12,55
26,255,142,181,54,17,30
27,243,124,170,38,8,55
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,229,68,157,36,1,10
4,219,69,138,35,0,5
5,202,66,129,33,0,5
6,224,65,139,48,2,5
7,216,68,136,51,0,5
8,255,64,141,48,0,10
9,223,68,125,44,3,0
10,232,100,140,44,1,0
11,215,87,142,44,2,0
12,250,98,158,44,2,10
13,234,88,148,39,3,15
14,234,94,149,38,7,10
15,242,85,165,56,6,25
16,230,108,160,51,5,30
17,247,124,129,33,5,20
18,271,121,131,51,4,30
19,254,124,158,40,6,35
20,259,108,129,39,5,15
21,266,138,173,48,7,30
22,240,122,160,47,6,20
23,258,121,141,54,2,40
24,217,131,148,44,7,20
25,235,170,135,53,10,45
26,235,136,170,54,13,25
27,224,123,161,35,4,30
,,,,,,
