Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,227,63,148,36,1,15
4,241,70,143,45,1,0
5,221,74,145,41,3,15
6,242,75,136,40,3,15
7,242,75,153,50,2,10
8,234,80,159,35,3,15
9,245,101,166,33,4,20
10,252,84,131,53,7,5
11,255,63,142,38,8,10
12,275,94,135,36,6,30
13,262,73,163,40,5,25
14,258,114,152,59,7,45
15,260,102,159,43,4,25
16,260,115,160,45,10,30
17,279,119,163,51,11,25
18,266,116,166,37,14,55
19,290,112,173,42,10,70
20,281,148,169,43,6,45
21,257,136,154,60,8,35
22,282,144,164,37,5,30
23,226,125,190,44,10,45
24,252,129,160,43,10,55
25,253,131,177,50,8,35
26,271,148,153,42,9,30
27,276,140,157,47,13,45
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,227,63,148,36,1,15
4,238,70,143,45,1,0
5,218,74,145,41,3,15
6,237,75,132,40,3,15
7,238,74,150,50,2,10
8,228,79,152,35,3,15
9,239,101,165,33,4,20
10,244,84,131,50,7,5
11,249,63,142,35,8,10
12,267,93,134,35,5,30
13,251,74,161,41,5,25
14,256,112,152,59,7,40
15,251,101,159,43,4,25
16,249,115,159,44,9,30
17,273,119,157,52,9,20
18,253,112,163,37,14,55
19,291,106,168,42,9,65
20,277,146,160,43,6,45
21,250,135,152,59,8,35
22,273,140,159,36,5,30
23,217,124,185,44,10,45
24,246,125,158,43,10,55
25,246,129,174,50,8,30
26,265,143,149,41,9,25
27,269,138,151,48,12,45
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,227,63,148,36,1,15
4,234,70,142,45,1,0
5,214,73,145,41,2,15
6,228,75,129,40,3,10
7,224,74,146,50,1,10
8,215,79,148,35,3,10
9,231,100,157,32,4,20
10,224,82,126,49,6,5
11,240,62,139,33,5,10
12,253,91,130,35,3,15
13,235,73,153,41,4,20
14,246,109,146,60,5,35
15,227,97,159,40,4,15
16,227,110,151,43,8,25
17,260,114,147,50,8,20
18,235,108,156,33,11,45
19,275,103,165,42,6,50
20,266,137,152,44,7,35
21,241,132,145,58,8,35
22,255,136,156,35,3,30
23,196,121,176,43,9,45
24,229,117,149,43,8,45
25,236,119,172,51,6,35
26,248,136,141,42,8,25
27,253,136,147,48,10,25

