Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,229,68,157,36,1,10
4,227,69,138,35,0,5
5,205,67,130,33,0,5
6,234,66,142,48,2,5
7,223,69,142,51,0,5
8,270,64,144,48,1,10
9,235,68,131,44,3,5
10,242,103,142,46,2,0
11,237,87,146,46,3,0
12,263,100,163,45,2,15
13,244,90,156,40,4,15
14,243,97,154,39,8,15
15,259,86,170,56,6,30
16,249,109,170,54,6,35
17,262,126,133,33,7,25
18,287,126,136,51,7,35
19,268,125,170,41,8,45
20,282,114,131,40,7,20
21,286,140,184,49,8,50
22,249,134,170,49,10,25
23,277,126,150,57,4,55
24,233,138,150,45,8,35
25,255,178,140,54,12,55
26,255,142,181,54,17,30
27,243,124,170,38,8,55
