Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,167,54,146,35,3,0
4,169,61,130,39,3,25
5,176,64,133,43,1,0
6,164,72,118,38,3,10
7,171,70,152,47,4,15
8,223,57,147,45,3,15
9,202,84,137,39,1,10
10,188,68,126,47,6,20
11,181,74,122,37,1,20
12,192,82,142,40,1,10
13,207,75,137,47,2,15
14,215,69,147,46,3,10
15,199,76,140,42,3,5
16,180,97,157,36,5,5
17,199,98,148,33,4,15
18,203,111,133,45,2,10
19,185,104,156,38,5,15
20,209,100,160,48,4,35
21,211,96,159,52,6,25
22,214,118,136,58,3,25
23,197,99,191,39,8,15
24,187,125,147,45,13,40
25,205,118,155,41,6,40
26,197,119,152,55,1,40
27,198,96,171,56,8,25
