Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,194,57,116,54,1,10
4,226,64,130,46,1,5
5,222,56,117,52,3,15
6,219,57,130,54,2,10
7,216,60,128,46,2,10
8,218,83,120,50,3,15
9,241,68,120,54,2,15
10,222,84,121,53,7,15
11,235,70,114,55,5,10
12,211,66,97,65,5,35
13,228,86,126,54,4,20
14,203,86,118,52,6,35
15,233,88,126,74,6,30
16,256,100,97,65,3,25
17,239,116,130,74,5,15
18,228,107,100,51,7,30
19,240,113,120,68,2,30
20,252,109,152,66,5,15
21,256,104,128,73,7,25
22,230,116,140,82,10,35
23,236,128,124,67,5,35
24,231,125,126,79,8,25
25,241,137,136,76,12,35
26,238,133,105,82,9,60
27,207,122,121,77,8,50
