Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,190,100,145,38,2,20
4,198,74,146,43,1,10
5,203,82,150,39,2,10
6,203,79,155,49,1,10
7,223,93,160,48,1,5
8,221,80,136,59,5,10
9,231,92,152,52,1,20
10,215,102,163,68,2,5
11,226,96,133,61,4,5
12,194,100,147,51,3,15
13,225,94,136,56,2,15
14,195,99,157,62,2,15
15,240,104,143,69,3,20
16,222,115,137,51,2,5
17,223,101,158,62,5,5
18,240,115,143,63,4,20
19,224,107,148,65,2,25
20,230,133,157,66,7,5
21,223,100,145,77,6,30
22,249,135,163,76,13,20
23,246,130,158,75,9,45
24,235,123,159,75,1,35
25,211,143,161,78,4,35
26,222,145,174,68,8,35
27,200,147,162,74,11,25
