Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,209,44,137,35,3,5
4,164,51,119,43,2,25
5,207,66,124,39,2,10
6,195,71,118,33,3,10
7,227,54,111,42,6,5
8,208,60,144,35,1,35
9,215,62,129,46,5,10
10,208,75,133,46,5,25
11,213,55,134,50,1,10
12,207,71,135,28,2,10
13,208,67,144,49,1,15
14,227,80,156,45,7,25
15,225,93,166,51,4,30
16,227,94,148,46,7,15
17,227,79,143,47,3,30
18,188,88,142,41,3,5
19,211,95,153,40,8,5
20,209,85,150,41,8,25
21,227,85,165,50,9,50
22,257,93,183,62,4,40
23,206,93,171,43,5,55
24,196,106,175,52,14,15
25,212,83,193,55,4,35
26,223,102,179,61,4,35
27,203,110,187,60,9,30
