Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,161,72,136,28,1,15
4,178,72,120,35,2,10
5,163,60,150,33,0,10
6,177,80,138,46,3,10
7,177,81,152,49,3,15
8,184,77,143,40,3,10
9,181,90,140,34,3,20
10,175,79,138,39,2,10
11,210,82,128,33,3,5
12,212,85,111,37,2,20
13,193,86,133,32,9,20
14,199,94,139,34,2,30
15,207,83,119,23,5,15
16,210,124,122,37,4,15
17,230,108,130,30,8,25
18,207,96,117,28,5,30
19,203,115,125,32,11,40
20,198,99,130,28,5,40
21,219,123,137,30,1,20
22,231,98,141,31,4,20
23,186,112,110,36,11,20
24,229,119,137,30,6,45
25,195,108,122,37,4,30
26,192,135,147,37,3,25
27,203,130,135,31,4,15
