Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,223,60,125,53,2,10
4,231,59,128,63,2,5
5,234,54,137,57,2,10
6,253,63,135,65,1,15
7,274,77,111,64,2,0
8,260,71,93,51,1,15
9,255,95,117,65,3,5
10,236,83,108,60,5,15
11,265,100,116,50,4,25
12,255,86,98,58,4,10
13,276,102,103,46,6,25
14,299,98,109,62,4,20
15,274,105,107,41,5,25
16,254,104,99,59,8,20
17,270,112,115,63,3,20
18,303,123,110,44,8,30
19,263,133,110,55,4,45
20,249,138,108,43,7,20
21,268,125,105,42,10,30
22,258,140,109,47,7,35
23,233,148,95,49,11,25
24,282,135,98,49,4,65
25,254,154,98,42,2,35
26,258,149,107,52,3,15
27,257,159,76,42,3,20
