Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,260,61,99,32,1,10
4,280,71,95,26,3,20
5,266,78,88,25,2,15
6,232,77,95,36,0,10
7,304,97,110,33,5,0
8,273,90,101,32,1,10
9,280,90,104,29,7,20
10,275,92,103,22,5,10
11,277,112,119,24,2,30
12,293,89,113,34,5,10
13,327,101,116,23,5,40
14,320,115,111,29,6,5
15,308,103,130,40,6,20
16,305,109,125,28,5,40
17,308,143,121,30,6,25
18,352,124,105,29,9,25
19,313,129,119,45,4,40
20,302,139,118,42,8,35
21,330,146,112,30,12,15
22,285,158,123,22,12,55
23,334,144,138,23,5,40
24,311,138,140,31,11,50
25,290,171,126,32,11,55
26,288,189,130,32,9,45
27,282,174,122,35,12,60
