Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,150,63,140,39,4,0
4,169,85,141,25,6,15
5,156,87,141,44,3,20
6,167,72,109,37,0,10
7,172,81,150,23,2,15
8,192,79,122,39,3,15
9,200,89,124,46,0,15
10,200,75,107,41,1,5
11,200,92,115,38,6,5
12,176,88,128,54,4,15
13,168,97,143,41,4,20
14,183,99,132,38,4,25
15,200,86,136,49,4,15
16,172,109,135,46,3,20
17,189,87,135,46,8,15
18,202,92,129,42,3,20
19,185,115,140,51,4,30
20,201,126,122,57,2,30
21,176,105,121,41,3,20
22,200,110,122,51,4,10
23,210,132,127,61,2,10
24,207,128,114,59,5,15
25,192,126,124,55,6,15
26,192,132,129,50,5,20
27,229,137,144,56,4,15
