Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,229,66,130,29,1,15
4,288,74,119,31,2,5
5,255,82,111,31,1,10
6,291,84,106,42,3,20
7,272,86,116,33,2,5
8,291,93,107,46,2,10
9,258,98,127,30,1,10
10,269,85,120,37,1,15
11,278,105,148,33,5,10
12,297,98,127,37,3,5
13,297,100,104,45,5,20
14,259,107,140,24,4,10
15,266,108,124,38,2,25
16,301,101,126,32,2,20
17,272,126,120,31,2,10
18,259,117,130,35,4,20
19,295,155,125,49,7,15
20,279,148,135,35,9,15
21,261,165,126,33,3,30
22,290,155,132,34,5,30
23,290,150,121,44,5,35
24,297,154,142,33,2,30
25,283,166,125,31,4,5
26,234,162,116,38,10,30
27,288,173,115,38,5,25
