Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,281,66,127,34,4,15
4,278,69,153,52,0,15
5,296,85,121,36,5,5
6,331,81,149,35,4,20
7,282,109,148,40,2,15
8,330,89,143,36,4,5
9,292,92,139,31,9,20
10,320,104,138,41,3,35
11,297,93,142,35,3,10
12,323,125,141,53,11,15
13,302,95,158,38,8,35
14,315,118,167,52,7,55
15,291,124,169,51,10,25
16,325,124,142,46,12,40
17,328,119,144,45,10,60
18,338,129,174,37,13,35
19,277,143,160,60,15,55
20,269,140,157,30,13,70
21,302,163,155,51,24,55
22,307,178,149,58,9,110
23,309,153,144,45,18,100
24,310,179,152,35,16,45
25,292,159,141,52,22,70
26,287,158,153,58,18,95
27,293,157,140,42,18,70
