Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,252,80,200,36,1,10
4,256,81,182,48,4,10
5,231,87,202,36,4,25
6,240,79,208,45,1,15
7,214,90,182,37,5,25
8,257,96,168,39,1,25
9,262,92,179,42,4,5
10,252,92,185,43,2,5
11,217,100,167,41,6,20
12,258,119,202,39,2,30
13,250,109,166,52,3,15
14,283,116,160,49,6,20
15,290,97,182,43,6,25
16,275,112,192,56,4,30
17,253,112,182,49,5,5
18,224,130,175,51,7,15
19,289,120,161,45,9,45
20,261,124,179,39,10,45
21,252,120,182,39,7,70
22,247,167,167,42,11,40
23,286,126,170,34,17,40
24,243,152,174,38,7,60
25,270,135,159,55,12,50
26,231,136,155,42,7,55
27,250,146,159,53,9,50
