Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,186,81,166,31,0,15
4,212,63,142,34,1,0
5,215,68,141,38,1,5
6,223,74,161,40,3,5
7,195,61,185,42,3,10
8,220,79,153,50,4,15
9,243,92,162,38,3,10
10,259,88,169,45,8,20
11,213,89,188,54,6,20
12,217,79,180,52,10,35
13,232,105,212,52,6,40
14,218,91,191,53,2,40
15,237,104,197,40,7,25
16,233,95,210,47,5,25
17,239,131,219,46,4,40
18,235,97,224,63,11,20
19,246,112,210,60,5,30
20,277,117,219,66,8,45
21,271,133,242,60,9,30
22,268,139,244,49,14,40
23,266,152,231,65,8,55
24,277,152,239,59,6,20
25,254,150,202,62,15,65
26,229,173,254,68,8,55
27,272,154,295,75,16,45
