Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,274,67,155,39,2,15
4,268,81,120,42,1,15
5,285,69,139,41,2,5
6,283,92,146,62,2,10
7,297,76,130,54,3,15
8,289,77,145,48,2,15
9,343,103,170,52,5,5
10,327,107,151,50,4,30
11,298,120,165,48,6,15
12,283,113,152,50,7,30
13,342,110,163,55,7,25
14,309,106,170,42,3,30
15,292,118,174,48,4,30
16,348,120,174,49,7,20
17,321,117,188,52,11,20
18,327,130,139,44,7,30
19,347,151,143,55,8,60
20,361,138,175,56,11,40
21,359,149,170,57,8,50
22,327,182,155,63,12,40
23,334,156,157,69,9,45
24,299,160,152,73,6,50
25,332,145,174,53,6,25
26,326,165,162,67,12,25
27,304,162,165,62,11,65
