Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,316,82,130,43,1,15
4,356,77,122,41,0,10
5,307,95,147,50,0,5
6,333,95,116,55,2,0
7,312,87,123,50,1,10
8,312,83,114,35,1,0
9,343,94,125,55,2,0
10,305,104,123,51,2,15
11,295,105,115,38,2,10
12,326,110,92,55,3,10
13,320,135,131,66,4,15
14,310,142,125,47,3,15
15,304,159,127,41,6,15
16,335,131,132,53,3,20
17,295,156,129,69,3,25
18,312,143,133,45,6,15
19,315,123,128,45,5,30
20,287,164,154,57,5,15
21,326,176,131,51,3,35
22,294,181,138,55,5,20
23,322,191,127,57,3,20
24,308,183,117,68,3,30
25,307,201,142,56,3,15
26,328,198,124,56,2,10
27,302,197,143,61,1,20
