Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,316,82,130,43,1,15
4,356,77,122,41,0,10
5,307,95,147,50,0,5
6,332,95,115,55,2,0
7,309,87,122,50,1,10
8,311,83,114,35,1,0
9,341,94,123,55,2,0
10,302,104,123,51,2,15
11,294,105,115,38,2,10
12,323,110,91,55,3,10
13,316,135,130,66,4,15
14,307,142,125,47,3,15
15,303,158,125,41,6,15
16,329,131,132,52,3,20
17,291,156,128,69,3,25
18,309,143,130,45,6,15
19,311,121,128,44,5,30
20,284,161,154,57,4,15
21,325,173,130,51,3,30
22,290,180,138,55,5,20
23,315,186,128,57,2,20
24,303,185,116,68,3,25
25,308,201,141,55,3,10
26,320,197,121,56,2,15
27,299,194,142,60,1,20
