Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,249,55,71,39,2,5
4,214,71,75,35,4,20
5,216,42,99,43,2,10
6,245,59,72,49,3,5
7,243,72,73,24,3,20
8,264,96,96,37,6,10
9,241,87,100,45,3,20
10,263,76,82,47,1,20
11,264,77,90,48,8,15
12,273,95,87,46,4,20
13,253,93,72,28,5,20
14,281,109,77,49,6,30
15,286,110,99,37,2,5
16,274,93,104,29,8,35
17,266,110,93,38,5,30
18,280,116,89,34,4,40
19,286,116,104,34,3,20
20,298,125,97,45,8,10
21,273,123,101,47,9,15
22,289,124,103,31,5,35
23,284,122,104,41,12,40
24,274,145,90,43,8,35
25,267,136,75,42,12,60
26,248,133,100,49,9,35
27,279,136,108,45,8,60
