Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,259,62,114,46,1,30
4,220,47,120,51,1,5
5,230,61,135,36,1,0
6,250,51,130,46,0,15
7,252,60,97,44,4,0
8,267,72,125,42,2,10
9,242,68,131,36,5,20
10,240,84,137,53,4,10
11,243,95,120,51,4,15
12,247,80,115,57,6,5
13,267,97,144,42,6,45
14,266,95,150,45,5,45
15,238,80,134,48,7,20
16,255,88,169,52,3,20
17,268,110,152,53,5,25
18,255,99,163,53,14,20
19,293,120,142,44,12,45
20,273,82,158,54,11,65
21,264,118,146,41,7,55
22,264,107,160,47,14,35
23,266,119,167,61,15,55
24,250,110,158,52,10,55
25,279,142,169,57,18,75
26,269,123,164,67,10,75
27,254,132,171,74,16,55
