Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,187,81,128,36,2,10
4,169,68,126,27,1,15
5,190,86,131,35,1,5
6,192,69,153,38,0,10
7,189,59,117,30,3,0
8,188,85,142,40,2,5
9,223,72,123,33,3,15
10,186,81,137,36,6,15
11,196,75,154,39,2,10
12,194,89,143,32,3,20
13,176,83,159,31,7,10
14,202,96,152,28,6,30
15,220,102,180,34,6,25
16,204,94,167,36,6,15
17,201,88,182,44,9,30
18,221,118,188,34,8,45
19,224,101,208,34,8,40
20,208,115,167,27,8,35
21,247,118,189,30,3,55
22,228,127,196,28,7,10
23,206,144,190,29,9,40
24,233,131,201,32,11,45
25,251,135,202,35,8,50
26,231,125,205,48,8,30
27,212,143,206,39,14,50
