Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,187,81,128,36,2,10
4,168,68,125,27,1,15
5,180,86,130,35,1,5
6,190,69,150,38,0,10
7,184,59,112,29,3,0
8,185,84,137,40,2,5
9,211,72,119,33,3,15
10,172,80,136,36,5,15
11,185,74,151,39,2,5
12,186,87,137,32,3,20
13,167,83,152,31,5,10
14,192,95,143,27,6,25
15,205,98,173,34,4,20
16,196,92,161,35,5,15
17,173,88,173,42,6,25
18,212,114,183,33,6,35
19,212,99,199,34,6,20
20,190,111,161,26,7,25
21,228,109,182,28,2,55
22,205,123,186,28,6,5
23,195,142,183,29,5,40
24,211,128,192,30,7,30
25,233,132,193,36,1,35
26,219,115,189,49,6,5
27,198,130,193,36,9,25
