Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,313,55,126,55,2,10
4,341,64,134,38,1,5
5,342,68,124,50,2,10
6,308,69,121,53,3,5
7,343,88,148,38,2,15
8,327,84,145,51,1,10
9,337,90,145,54,3,10
10,350,100,124,46,6,10
11,311,93,158,59,6,15
12,306,91,144,45,4,40
13,332,100,142,51,3,15
14,314,112,132,48,6,5
15,344,108,126,64,8,30
16,347,131,148,66,6,30
17,355,127,136,68,10,25
18,355,134,133,51,7,15
19,343,122,132,59,6,30
20,362,145,139,73,5,65
21,344,171,125,57,16,35
22,315,168,125,63,12,40
23,308,160,136,70,7,55
24,317,160,138,67,6,60
25,326,158,127,64,9,15
26,267,168,129,73,11,50
27,328,138,117,67,17,50
