Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,182,87,103,27,0,10
4,183,86,115,27,1,0
5,205,65,82,34,1,5
6,181,95,84,27,1,5
7,184,82,90,28,3,0
8,164,89,81,30,2,15
9,197,98,104,27,2,10
10,212,90,107,35,1,0
11,189,74,93,27,4,15
12,192,94,96,41,0,10
13,205,97,97,29,2,0
14,196,95,110,28,3,10
15,219,93,106,33,5,10
16,193,111,87,38,6,15
17,191,98,97,38,3,25
18,210,120,111,30,2,25
19,214,108,96,39,2,20
20,225,86,101,27,5,10
21,200,115,100,22,6,20
22,202,123,102,32,3,25
23,229,111,98,40,4,25
24,217,133,111,27,6,20
25,217,136,120,35,4,35
26,189,138,112,35,17,20
27,225,130,110,26,3,55
