Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,279,84,132,30,1,25
4,259,81,111,33,1,5
5,257,93,124,32,1,10
6,288,105,110,31,1,0
7,292,98,104,30,1,10
8,310,107,108,26,3,0
9,308,118,127,34,3,20
10,276,122,128,29,1,10
11,291,114,136,16,1,20
12,300,114,121,37,4,5
13,311,136,110,37,3,0
14,303,133,119,25,3,25
15,289,129,125,28,3,15
16,317,124,109,34,2,25
17,271,147,132,29,4,10
18,297,141,137,22,2,10
19,313,131,114,39,1,15
20,313,149,117,37,5,10
21,317,164,146,31,1,20
22,281,173,117,34,3,20
23,299,169,144,39,5,5
24,274,188,133,20,4,5
25,287,163,120,24,4,30
26,281,184,139,27,2,25
27,305,190,103,24,6,5
