Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,185,50,103,37,1,10
4,176,61,102,37,2,20
5,188,60,91,47,1,5
6,208,68,86,45,2,5
7,220,65,86,40,5,10
8,199,55,114,32,4,25
9,223,62,111,35,1,0
10,213,74,124,41,1,15
11,189,63,82,43,4,20
12,208,69,117,61,7,15
13,202,73,115,52,2,35
14,226,74,113,41,3,10
15,200,83,124,40,6,15
16,235,83,114,43,8,20
17,207,76,117,63,10,45
18,248,95,123,49,6,25
19,217,81,113,56,14,35
20,219,110,123,43,2,55
21,220,93,126,59,8,45
22,229,95,117,60,12,25
23,233,104,136,48,7,35
24,218,128,133,46,9,50
25,222,114,147,74,16,45
26,222,116,129,60,7,30
27,225,107,138,71,13,55
