Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,185,50,103,37,1,10
4,176,61,102,37,2,20
5,187,60,90,47,1,5
6,207,68,85,45,2,5
7,218,65,85,40,5,10
8,197,55,114,32,3,25
9,217,62,110,35,1,0
10,206,74,122,41,1,15
11,188,62,80,43,4,20
12,206,69,115,60,7,10
13,196,73,114,51,2,35
14,218,72,111,41,3,10
15,196,83,123,40,5,15
16,232,83,113,43,5,20
17,195,77,112,62,10,35
18,246,93,121,48,5,20
19,211,81,108,56,11,25
20,217,109,119,43,1,50
21,216,92,125,57,7,40
22,222,95,113,60,12,25
23,224,103,134,48,6,30
24,214,127,130,46,8,40
25,218,112,145,73,16,40
26,211,115,127,60,7,30
27,218,107,136,71,12,50
