Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,191,85,152,36,2,30
4,215,80,165,44,4,5
5,189,77,129,40,7,5
6,217,81,142,30,0,40
7,210,86,143,38,0,10
8,220,96,148,49,2,10
9,207,89,171,35,0,0
10,213,95,148,51,1,5
11,232,108,167,35,4,5
12,218,96,143,36,6,20
13,239,109,164,52,4,20
14,220,102,173,49,3,15
15,244,103,158,37,6,25
16,219,109,196,35,6,25
17,217,121,176,47,4,30
18,212,97,180,53,3,20
19,230,112,169,44,6,25
20,220,116,192,48,9,15
21,225,148,188,47,2,45
22,231,145,169,47,3,20
23,216,118,178,42,7,20
24,240,141,197,48,5,25
25,206,145,177,49,7,30
26,221,126,177,35,8,25
27,237,129,188,44,4,30
