Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,204,66,128,23,4,5
4,226,62,127,27,3,15
5,232,69,131,38,2,20
6,264,66,120,27,2,15
7,250,82,136,36,2,20
8,225,76,127,26,2,5
9,262,86,144,32,3,5
10,263,64,134,39,0,15
11,245,93,123,32,1,5
12,236,95,132,26,5,10
13,226,97,152,34,0,30
14,227,112,134,22,2,5
15,258,108,137,33,1,5
16,247,112,149,32,3,10
17,265,110,130,33,1,5
18,243,104,151,34,4,10
19,283,106,127,28,6,20
20,226,118,122,22,5,25
21,263,131,148,27,5,30
22,229,110,122,31,5,25
23,226,120,141,26,6,20
24,243,127,121,27,4,30
25,268,132,121,25,6,25
26,262,122,130,23,6,0
27,292,173,127,21,11,45
