Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,302,62,154,46,1,10
4,368,71,163,31,0,10
5,375,77,168,37,3,5
6,371,83,182,40,1,10
7,361,83,190,35,3,10
8,373,88,179,40,4,15
9,345,109,193,47,6,5
10,365,107,191,47,5,45
11,398,107,209,46,3,20
12,382,122,203,47,3,10
13,361,121,206,38,5,10
14,344,108,222,32,6,30
15,385,143,213,52,7,25
16,356,128,246,33,2,35
17,341,119,221,54,7,25
18,373,165,229,49,7,20
19,356,156,236,45,8,30
20,337,185,225,55,10,30
21,325,158,251,61,7,35
22,350,184,239,61,8,55
23,375,167,240,56,10,45
24,384,185,231,47,8,45
25,337,193,272,74,8,45
26,314,201,236,59,7,35
27,350,195,265,69,10,35
