Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,270,81,121,51,0,30
4,252,90,107,48,2,5
5,276,91,132,52,2,10
6,306,77,123,40,1,15
7,305,106,122,53,4,10
8,320,86,118,58,2,10
9,300,113,122,44,4,20
10,340,101,127,51,3,20
11,352,116,117,44,6,10
12,306,115,143,39,6,30
13,304,99,123,49,5,10
14,315,145,120,56,6,30
15,308,148,147,51,6,20
16,324,147,106,41,14,25
17,285,159,137,48,9,40
18,321,146,120,38,13,85
19,286,180,155,49,7,45
20,304,152,143,53,6,65
21,313,161,172,41,9,25
22,306,177,167,42,6,40
23,302,179,151,44,12,35
24,317,162,137,37,13,50
25,328,219,150,60,9,75
26,290,179,145,51,10,50
27,288,220,158,41,12,35
