Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,163,45,116,36,3,10
4,141,41,125,42,1,10
5,167,36,121,33,0,15
6,177,44,124,41,1,5
7,187,40,107,40,2,0
8,202,51,133,33,1,10
9,198,52,122,36,0,5
10,176,49,124,43,2,5
11,187,51,132,41,4,10
12,195,54,129,27,8,10
13,190,56,109,41,2,30
14,197,63,106,31,3,25
15,215,68,136,38,3,15
16,199,60,131,41,3,20
17,195,53,118,42,8,5
18,212,68,139,36,6,30
19,202,68,134,39,3,45
20,199,75,138,41,5,30
21,204,65,143,42,9,25
22,205,82,124,40,7,50
23,211,60,138,44,6,20
24,242,69,121,46,11,30
25,221,77,141,48,13,35
26,233,72,152,45,10,45
27,205,78,119,60,13,40
