Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,222,71,132,43,1,25
4,225,66,150,37,3,25
5,244,72,145,46,1,20
6,229,87,137,46,3,5
7,246,75,131,44,3,15
8,259,76,143,48,2,15
9,262,80,165,37,0,15
10,242,67,144,42,4,0
11,230,97,146,43,5,10
12,275,104,140,46,2,20
13,255,99,161,49,3,25
14,220,99,115,45,7,15
15,272,76,173,39,8,15
16,261,97,145,44,6,20
17,253,103,168,54,6,45
18,280,111,172,40,6,40
19,245,113,188,40,10,20
20,280,133,166,51,10,30
21,251,124,168,57,10,45
22,257,118,159,56,4,40
23,283,115,178,50,10,50
24,235,126,178,52,13,40
25,276,138,164,45,18,55
26,250,157,162,50,10,60
27,260,134,156,52,11,95
