Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,175,64,151,41,3,10
4,183,81,120,37,0,20
5,197,71,109,40,1,0
6,218,60,112,40,2,0
7,209,74,115,29,2,10
8,174,67,108,36,1,10
9,201,66,116,35,2,10
10,200,69,99,41,4,10
11,197,75,116,49,2,15
12,187,96,107,43,6,0
13,208,86,110,50,7,35
14,196,77,133,47,6,35
15,187,92,127,54,5,15
16,179,107,121,32,3,40
17,229,98,115,42,7,20
18,217,93,116,47,2,35
19,256,108,116,54,10,5
20,199,110,126,33,3,40
21,209,106,145,40,6,25
22,208,116,129,41,6,35
23,226,125,144,47,10,30
24,208,121,135,58,7,30
25,207,139,158,48,8,35
26,230,147,138,58,11,20
27,226,139,146,58,11,80
