Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,175,77,143,31,1,30
4,191,83,145,44,0,20
5,226,87,145,43,1,5
6,216,83,148,35,3,15
7,203,70,133,28,3,10
8,215,90,120,44,2,10
9,236,93,166,42,1,10
10,197,94,121,46,3,10
11,199,110,150,35,1,15
12,207,111,159,52,3,10
13,235,113,180,36,4,0
14,195,104,146,46,3,5
15,206,92,156,28,7,20
16,215,114,164,44,6,35
17,208,112,175,33,2,20
18,222,96,142,50,4,35
19,204,124,177,51,6,15
20,244,123,180,49,5,20
21,236,101,165,30,4,15
22,239,118,166,57,9,35
23,222,115,154,38,3,25
24,250,134,168,55,3,25
25,195,119,180,53,7,10
26,243,139,191,53,7,15
27,229,129,178,50,4,30
