Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,262,87,105,37,4,15
4,262,85,126,36,4,20
5,294,84,109,40,3,10
6,275,87,104,33,3,15
7,268,83,101,33,1,25
8,267,92,101,40,2,5
9,275,100,108,33,4,15
10,264,100,105,30,1,15
11,261,94,85,31,7,10
12,307,108,106,38,2,20
13,265,127,112,29,6,20
14,291,123,102,37,7,30
15,285,121,99,39,4,20
16,283,128,99,28,7,25
17,280,113,109,35,7,15
18,293,141,111,33,7,35
19,275,165,112,42,10,35
20,259,164,104,30,9,35
21,271,157,111,41,4,40
22,291,165,111,35,14,15
23,303,197,97,43,8,80
24,272,203,104,33,11,25
25,293,205,117,31,5,70
26,296,177,110,28,4,55
27,289,186,105,39,9,20
