Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,212,74,123,57,2,10
4,205,67,95,53,2,15
5,198,79,131,52,2,5
6,196,71,114,43,0,10
7,189,76,95,40,0,5
8,205,92,105,49,2,5
9,206,66,97,47,1,10
10,214,61,115,56,1,0
11,225,78,105,44,2,10
12,198,88,100,54,4,10
13,232,79,126,39,2,20
14,207,84,127,49,2,0
15,210,87,127,57,1,15
16,229,86,118,44,2,5
17,178,89,105,54,5,0
18,200,111,128,57,2,15
19,210,118,122,50,1,10
20,201,78,126,48,4,20
21,190,107,119,58,3,10
22,198,106,128,62,3,20
23,204,110,120,68,5,5
24,217,91,133,60,2,30
25,191,119,118,60,3,10
26,208,114,119,52,0,15
27,215,120,131,64,2,25
