Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,204,101,155,38,3,0
4,196,92,132,38,1,15
5,211,68,164,45,1,0
6,193,106,151,52,3,10
7,188,97,139,42,1,10
8,210,86,140,46,3,10
9,209,98,126,53,4,0
10,201,98,160,39,1,10
11,201,99,141,49,2,15
12,211,107,141,39,5,15
13,195,116,166,40,2,20
14,196,107,169,55,3,15
15,190,112,153,62,1,10
16,198,110,166,50,9,10
17,208,107,171,41,6,25
18,221,108,158,44,6,40
19,193,122,184,34,6,10
20,240,127,158,50,5,30
21,190,107,175,47,8,30
22,227,127,190,50,5,30
23,205,131,177,59,3,20
24,217,127,179,47,9,30
25,228,154,168,51,8,30
26,205,112,195,53,5,45
27,228,140,177,55,7,35
