Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,241,54,171,40,1,15
4,279,64,134,51,3,15
5,257,70,181,44,0,10
6,276,58,157,31,3,15
7,245,70,166,51,2,20
8,275,53,155,49,3,10
9,283,61,151,46,3,15
10,295,90,168,59,5,20
11,325,81,153,36,4,5
12,304,82,160,51,4,20
13,294,94,165,45,5,35
14,305,98,169,51,2,15
15,268,82,180,48,4,15
16,268,90,182,40,4,20
17,318,100,158,45,5,15
18,285,111,168,44,9,25
19,309,103,165,47,8,25
20,271,110,147,45,10,45
21,283,112,144,42,12,60
22,274,95,189,45,8,50
23,319,121,165,48,9,35
24,316,127,148,53,8,50
25,288,131,162,41,9,20
26,339,143,152,62,12,60
27,270,123,162,68,6,55
