Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,202,84,155,32,0,15
4,258,79,148,33,2,10
5,217,80,134,39,2,20
6,241,99,129,30,1,5
7,240,86,127,23,0,5
8,215,79,139,27,3,0
9,209,92,144,36,1,20
10,222,82,139,34,5,0
11,229,75,151,33,3,15
12,237,102,146,25,3,10
13,207,109,161,28,3,15
14,200,97,160,31,3,20
15,210,105,158,37,5,15
16,217,107,142,30,5,30
17,229,109,151,31,4,15
18,242,101,148,29,1,20
19,209,112,166,46,4,20
20,234,128,150,31,4,20
21,240,114,136,31,10,20
22,232,138,149,38,2,40
23,243,138,157,41,7,15
24,216,117,155,42,6,45
25,248,122,170,30,5,30
26,262,143,142,40,5,20
27,209,134,154,44,2,10
