Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,273,76,113,37,2,35
4,276,68,87,36,3,15
5,340,68,120,35,1,5
6,291,61,105,34,4,15
7,289,83,104,29,5,15
8,356,79,116,28,5,30
9,303,92,142,40,1,20
10,301,87,132,30,9,10
11,309,86,131,38,6,40
12,326,92,122,33,9,15
13,338,109,141,43,17,30
14,302,117,135,44,7,80
15,306,109,145,34,7,30
16,333,136,141,38,13,55
17,310,127,181,29,10,75
18,325,112,160,34,14,35
19,298,153,159,40,17,65
20,336,129,158,35,14,80
21,305,127,174,31,18,55
22,334,152,177,50,16,50
23,346,161,176,40,14,70
24,333,185,154,26,15,70
25,320,176,159,30,17,90
26,291,165,193,40,14,55
27,310,177,176,45,14,100
