Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,273,76,113,37,2,35
4,271,68,87,36,3,15
5,327,68,119,35,1,5
6,280,60,101,34,4,15
7,283,81,105,29,5,15
8,350,78,113,28,5,30
9,293,92,137,40,1,20
10,292,87,127,30,9,10
11,290,86,128,38,6,40
12,313,93,121,33,9,15
13,330,104,139,43,16,30
14,291,113,132,44,7,80
15,296,106,140,34,7,30
16,320,134,135,37,10,50
17,292,124,178,30,9,65
18,316,108,151,33,10,30
19,286,147,152,40,15,55
20,326,128,157,35,14,55
21,295,124,166,31,16,55
22,322,148,169,50,15,45
23,334,157,172,38,12,65
24,318,181,150,26,14,65
25,304,171,152,30,13,80
26,288,162,184,39,13,45
27,299,175,170,45,11,90
