Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,246,62,133,38,3,5
4,232,77,125,32,1,10
5,260,61,127,24,4,20
6,243,59,118,39,1,15
7,288,67,136,38,4,20
8,271,81,141,30,2,10
9,281,80,131,29,2,5
10,273,90,139,40,2,15
11,274,105,127,31,2,10
12,259,86,125,25,6,10
13,269,108,146,28,3,25
14,256,101,163,29,5,10
15,258,98,140,46,3,30
16,302,111,157,17,5,5
17,301,101,139,27,9,30
18,303,122,119,34,7,40
19,302,115,142,30,4,45
20,285,110,141,35,13,20
21,310,111,153,32,6,45
22,294,111,142,24,10,35
23,274,135,145,34,8,45
24,273,164,167,29,10,45
25,241,152,154,42,11,55
26,277,142,154,26,7,20
27,281,167,132,25,12,50
