Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,246,62,133,38,3,5
4,230,77,124,32,1,10
5,259,61,126,24,4,20
6,241,59,117,39,1,15
7,284,67,134,38,4,20
8,265,81,140,30,2,10
9,278,80,130,29,2,5
10,269,90,137,40,2,15
11,272,104,124,31,2,10
12,255,86,122,25,5,10
13,263,108,141,28,3,20
14,258,98,160,29,5,10
15,253,96,141,45,3,30
16,297,111,152,17,4,5
17,296,99,137,27,9,25
18,289,120,118,34,6,40
19,289,112,138,29,4,40
20,286,110,140,35,13,20
21,300,111,148,31,5,45
22,285,111,143,23,9,35
23,263,135,142,34,7,40
24,267,163,166,29,10,40
25,238,149,147,42,9,55
26,269,144,151,26,4,20
27,278,169,127,25,10,45
