Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,255,49,169,60,3,20
4,246,48,164,62,2,5
5,254,55,147,43,1,20
6,273,41,177,63,1,10
7,275,57,175,46,2,0
8,253,60,179,50,2,15
9,317,66,166,82,2,5
10,293,70,180,61,2,0
11,278,85,176,80,4,10
12,273,80,177,82,5,10
13,276,78,175,72,5,45
14,295,101,203,83,2,20
15,248,83,231,83,6,10
16,252,76,197,81,5,25
17,250,106,190,87,4,25
18,255,113,194,84,5,15
19,276,109,228,81,9,20
20,273,128,202,85,6,30
21,297,117,238,89,6,40
22,272,120,230,87,6,25
23,282,122,227,112,10,45
24,286,125,235,92,8,60
25,316,126,225,74,8,30
26,254,133,251,96,7,40
27,278,148,238,110,10,40
