Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,255,49,169,60,3,20
4,245,48,164,62,2,5
5,253,55,145,43,1,20
6,271,41,174,63,1,10
7,274,57,173,46,1,0
8,247,59,178,50,2,10
9,317,66,166,82,2,5
10,289,69,178,61,2,0
11,274,85,175,80,4,10
12,268,80,175,81,5,10
13,273,78,173,72,5,50
14,292,101,199,83,2,20
15,245,84,226,81,6,10
16,247,76,196,81,4,25
17,251,105,187,86,4,15
18,248,113,191,84,5,15
19,267,109,225,80,8,20
20,260,126,200,85,3,25
21,292,116,235,88,5,30
22,265,119,226,86,6,20
23,276,118,224,112,10,45
24,279,122,233,91,7,55
25,309,126,219,73,7,30
26,248,130,250,94,7,35
27,271,147,236,110,6,40
