Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,334,62,131,33,1,20
4,290,65,122,31,2,15
5,298,57,140,41,1,15
6,337,78,128,37,1,10
7,314,62,121,35,1,10
8,316,72,111,43,1,0
9,326,82,115,33,5,5
10,324,72,122,28,3,20
11,314,87,112,28,7,10
12,292,112,109,20,6,10
13,312,98,107,32,5,45
14,311,94,114,25,2,30
15,272,118,145,26,5,15
16,306,115,129,24,6,30
17,306,100,116,27,4,30
18,292,104,146,20,5,30
19,306,115,148,28,4,20
20,303,144,131,26,7,30
21,297,153,130,31,11,10
22,321,138,132,36,4,50
23,320,120,125,27,8,35
24,287,141,127,24,3,35
25,290,160,133,27,7,20
26,308,147,136,32,10,15
27,326,138,130,23,4,55
