Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,239,76,127,35,2,5
4,248,80,167,31,0,10
5,214,67,121,45,1,15
6,250,76,118,46,0,5
7,230,87,152,36,1,0
8,237,80,117,45,1,5
9,260,82,136,42,4,5
10,276,74,152,58,3,20
11,228,103,126,42,1,5
12,244,106,136,47,7,10
13,240,106,151,52,5,25
14,239,107,151,54,5,30
15,283,131,143,52,7,20
16,253,112,159,32,2,30
17,280,131,144,50,3,20
18,259,149,161,55,3,15
19,264,139,166,50,4,25
20,264,152,152,50,5,10
21,208,145,140,56,5,20
22,263,163,163,52,7,20
23,287,156,167,65,8,40
24,256,137,174,54,4,30
25,282,155,139,54,12,15
26,240,157,143,47,13,70
27,273,181,165,53,7,30
