Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,239,76,127,35,2,5
4,247,80,167,31,0,10
5,212,67,121,45,1,15
6,248,76,117,46,0,5
7,229,87,152,36,1,0
8,233,80,115,45,1,5
9,251,82,136,42,4,5
10,271,74,150,58,3,20
11,224,102,125,42,1,5
12,237,104,134,47,7,10
13,236,105,142,52,5,25
14,236,107,150,54,4,30
15,274,130,140,51,7,20
16,247,110,159,32,2,25
17,270,130,143,49,2,20
18,250,149,157,55,3,10
19,259,139,166,48,4,25
20,258,150,149,50,5,10
21,207,140,136,56,4,20
22,252,164,162,52,6,15
23,283,155,163,65,8,35
24,250,134,176,54,4,30
25,280,153,138,53,11,15
26,227,158,136,47,13,70
27,269,182,160,54,5,30
