Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,321,70,112,50,2,10
4,321,85,135,44,1,35
5,293,70,121,36,3,15
6,303,72,122,43,3,5
7,299,75,108,37,2,15
8,304,86,140,41,6,20
9,297,89,97,25,3,20
10,285,98,126,28,5,20
11,329,103,116,36,2,25
12,294,80,110,28,3,25
13,298,91,126,32,3,5
14,312,101,120,29,9,15
15,331,113,125,28,7,35
16,285,94,113,28,6,45
17,275,118,114,28,9,30
18,293,128,131,26,10,30
19,275,111,120,20,9,50
20,303,113,137,30,12,40
21,274,126,123,15,3,55
22,289,129,119,15,19,25
23,282,112,102,21,16,60
24,280,132,130,21,14,85
25,276,131,111,17,12,65
26,279,127,116,12,11,80
27,280,140,117,14,6,60
