Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,181,53,118,46,1,15
4,204,68,135,48,2,20
5,231,72,124,37,4,10
6,227,60,137,25,3,5
7,258,79,123,46,0,25
8,251,72,135,45,3,5
9,239,96,136,40,0,15
10,261,95,152,41,5,0
11,262,87,130,39,6,20
12,259,103,133,42,1,30
13,251,87,145,47,6,0
14,256,94,145,40,2,30
15,293,102,158,46,4,20
16,235,107,149,52,4,10
17,258,115,161,37,6,20
18,250,98,160,46,2,40
19,285,102,148,39,5,20
20,286,109,139,42,10,15
21,266,122,159,48,8,50
22,263,136,160,41,9,15
23,249,117,173,53,7,55
24,243,138,182,53,13,35
25,258,133,144,37,5,55
26,267,145,164,41,9,25
27,316,149,180,61,6,40
