Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,225,68,105,42,1,20
4,212,82,137,43,3,15
5,218,70,127,40,2,0
6,217,77,137,30,2,15
7,229,77,124,48,1,10
8,249,74,147,48,2,10
9,249,71,164,36,4,10
10,268,86,139,41,1,15
11,247,101,165,50,4,10
12,243,101,151,35,7,15
13,243,95,140,39,4,20
14,233,97,141,47,5,15
15,259,104,150,52,3,15
16,240,106,169,45,6,30
17,259,125,162,43,7,25
18,276,107,158,51,6,40
19,266,120,158,51,3,25
20,267,110,169,54,8,25
21,253,126,174,43,6,45
22,256,131,154,49,9,25
23,269,129,167,38,12,25
24,278,118,160,57,5,55
25,242,146,200,43,9,30
26,232,139,154,54,10,40
27,258,129,155,36,13,55
