Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,248,49,157,26,1,25
4,222,52,169,36,2,5
5,262,56,164,41,0,10
6,249,63,163,35,1,10
7,282,73,182,39,4,0
8,266,71,186,34,6,20
9,241,88,184,48,5,25
10,261,91,183,31,5,20
11,248,79,172,34,1,20
12,327,94,178,41,3,20
13,263,98,188,49,4,10
14,293,80,186,36,6,10
15,269,101,204,38,8,15
16,276,98,172,48,0,30
17,274,103,172,57,7,20
18,293,113,199,50,5,20
19,278,124,201,56,9,40
20,302,116,215,44,7,35
21,282,122,201,35,4,25
22,275,122,240,48,12,25
23,285,124,244,50,8,30
24,274,124,213,38,11,45
25,302,133,220,34,9,45
26,275,156,225,38,7,40
27,289,139,226,53,14,30
